p_id,p_hour,sum
1,12,1
2,00,0
3,08,1
4,08,76
5,00,0
6,00,0
7,00,153
8,01,1
9,10,1
10,06,3
11,00,0
12,12,18
13,08,305
14,00,5
15,00,0
16,00,0
17,00,35
18,10,7
19,00,0
20,08,7
21,00,1
22,02,2
23,00,0
24,08,97
25,11,51
26,08,2
27,00,0
28,12,7
29,10,4
30,00,0
31,09,2
32,10,2
33,08,116
34,08,5
35,10,4
36,00,21
37,00,31
38,00,0
39,08,2
40,09,42
41,08,203
42,08,175
43,12,290
44,00,0
45,12,57
46,00,0
47,08,9
48,07,509
49,08,49
50,09,220
51,03,1
52,09,54
53,11,3
54,08,7
55,00,6
56,00,7
57,00,0
58,00,0
59,00,0
60,07,2
61,00,43
62,09,13
63,03,1
64,00,0
65,09,55
66,08,63
67,09,2
68,09,440
69,12,20
70,00,11
71,01,2
72,08,4
73,06,1
74,08,242
75,08,287
76,00,5
77,01,2
78,08,9
79,09,412
80,00,56
81,00,1
82,00,112
83,00,26
84,00,0
85,00,9
86,01,1
87,08,143
88,12,76
89,01,10
90,09,351
91,08,3
92,00,24
93,00,3
94,08,4
95,00,57
96,06,1
97,09,71
98,08,1
99,00,0
100,08,467
101,00,0
102,02,1
103,00,0
104,00,0
105,00,0
106,09,11
107,08,564
108,00,0
109,00,0
110,00,0
111,01,1
112,08,42
113,08,316
114,08,157
115,01,1
116,08,63
117,03,1
118,00,0
119,09,10
120,00,3
121,11,5
122,05,1
123,05,1
124,07,1
125,11,105
126,09,6
127,00,17
128,08,3
129,04,114
130,08,32
131,09,2
132,00,540
133,02,2
134,09,15
135,08,3
136,00,5
137,08,305
138,10,915
139,09,1
140,08,554
141,08,608
142,08,496
143,09,258
144,12,115
145,09,56
146,00,27
147,12,4
148,00,186
149,12,1
150,09,2
151,08,222
152,08,43
153,08,6
154,08,1
155,10,1
156,06,2
157,00,4
158,09,225
159,09,24
160,00,1
161,12,743
162,08,540
163,12,427
164,12,415
165,05,3
166,08,202
167,08,11
168,07,19
169,07,8
170,08,791
171,07,1
172,00,0
173,04,21
174,00,8
175,00,0
176,00,0
177,11,4
178,02,1
179,07,33
180,07,1
181,08,66
182,08,18
183,09,4
184,07,1
185,08,6
186,07,920
187,00,0
188,07,13
189,00,22
190,08,4
191,01,1
192,09,5
193,08,12
194,09,2
195,00,6
196,12,19
197,10,4
198,01,2
199,00,0
200,00,0
201,00,0
202,00,2
203,04,1
204,00,0
205,08,1
206,09,1
207,08,2
208,01,2
209,08,39
210,08,11
211,12,124
212,08,7
213,07,5
214,00,0
215,10,4
216,07,4
217,01,5
218,06,1
219,00,3
220,11,8
221,00,0
222,12,1
223,07,64
224,08,137
225,00,21
226,07,75
227,00,3
228,00,7
229,08,466
230,12,485
231,12,299
232,08,33
233,08,384
234,11,411
235,08,8
236,08,811
237,08,736
238,08,391
239,08,432
240,04,1
241,01,4
242,10,5
243,08,23
244,12,81
245,00,0
246,09,287
247,08,22
248,08,9
249,08,274
250,09,6
251,00,0
252,07,1
253,00,0
254,12,3
255,00,176
256,00,93
257,09,4
258,05,2
259,11,1
260,04,68
261,12,105
262,08,459
263,08,424
