p_id,ycount,gcount,hfcount,fcount,sum
1,0,0,0,36,36
2,0,0,0,1,1
3,0,1,0,84,85
4,499,0,0,495,994
5,0,0,0,1,1
6,1,1,0,8,10
7,362,682,0,520,1564
8,1,1,0,4,6
9,0,0,0,38,38
10,10,2,0,79,91
11,2,2,0,71,75
12,46,0,0,3,49
13,2007,0,0,579,2586
14,4,17,0,345,366
15,0,0,0,28,28
16,1,1,0,102,104
17,69,317,0,498,884
18,2,27,0,107,136
19,0,4,0,20,24
20,1,21,0,44,66
21,1,0,0,91,92
22,4,1,0,172,177
23,0,1,0,28,29
24,514,62,0,186,762
25,192,344,0,326,862
26,0,2,0,188,190
27,0,0,0,0,0
28,32,16,0,104,152
29,1,0,0,42,43
30,0,0,0,0,0
31,0,2,0,4,6
32,0,4,0,58,62
33,259,453,0,373,1085
34,4,16,0,46,66
35,3,26,0,164,193
36,34,54,0,614,702
37,67,99,0,783,949
38,0,0,0,30,30
39,5,13,0,226,244
40,154,181,0,202,537
41,487,924,0,491,1902
42,228,726,0,501,1455
43,1906,178,0,171,2255
44,0,0,0,2,2
45,328,0,0,220,548
46,0,0,0,2,2
47,2,27,0,39,68
48,5503,0,0,1258,6761
49,79,420,0,491,990
50,1589,0,0,767,2356
51,0,2,0,160,162
52,159,229,0,136,524
53,0,5,0,39,44
54,27,31,0,62,120
55,2,16,0,58,76
56,1,44,0,200,245
57,0,0,0,9,9
58,0,0,0,4,4
59,0,2,0,2,4
60,1,10,0,27,38
61,55,335,0,777,1167
62,12,62,0,208,282
63,2,4,0,73,79
64,0,0,0,28,28
65,266,262,0,346,874
66,76,402,0,195,673
67,0,0,0,150,150
68,4289,0,0,1264,5553
69,8,69,0,105,182
70,16,30,0,209,255
71,4,17,0,141,162
72,7,11,0,150,168
73,0,2,0,69,71
74,468,985,0,349,1802
75,1113,985,0,401,2499
76,7,24,0,192,223
77,4,7,0,83,94
78,3,26,0,51,80
79,4645,0,0,1872,6517
80,122,179,0,549,850
81,1,2,0,285,288
82,68,607,0,326,1001
83,30,90,0,91,211
84,0,0,0,4,4
85,8,28,0,78,114
86,0,0,0,7,7
87,1281,0,0,485,1766
88,559,0,0,169,728
89,33,68,0,308,409
90,3191,0,0,849,4040
91,6,10,0,151,167
92,5,128,0,212,345
93,8,4,0,12,24
94,0,17,0,29,46
95,33,388,0,301,722
96,1,0,0,2,3
97,146,470,0,382,998
98,1,0,0,42,43
99,0,0,0,0,0
100,3790,0,0,506,4296
101,0,0,0,21,21
102,2,5,0,278,285
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,27,63,0,196,286
107,4361,0,0,1199,5560
108,0,0,0,46,46
109,0,0,0,3,3
110,0,0,0,0,0
111,1,3,0,2,6
112,144,410,0,793,1347
113,2942,0,0,891,3833
114,2115,0,0,770,2885
115,0,0,0,18,18
116,205,389,0,283,877
117,0,1,0,7,8
118,0,0,0,18,18
119,1,26,0,107,134
120,0,3,0,7,10
121,3,25,0,117,145
122,0,0,0,19,19
123,0,1,0,194,195
124,0,2,0,33,35
125,1056,0,0,402,1458
126,0,13,0,34,47
127,9,90,0,305,404
128,0,0,0,12,12
129,131,537,0,430,1098
130,6,188,0,135,329
131,22,2,0,50,74
132,2028,1,0,769,2798
133,11,9,0,128,148
134,4,145,0,100,249
135,2,7,0,87,96
136,3,19,0,152,174
137,2226,0,0,603,2829
138,3709,1,0,820,4530
139,1,0,0,38,39
140,3809,0,0,1025,4834
141,4483,0,0,1385,5868
142,4137,0,0,1072,5209
143,2007,0,0,987,2994
144,1401,0,0,727,2128
145,137,323,0,348,808
146,155,62,0,157,374
147,0,21,0,36,57
148,2003,0,0,894,2897
149,0,4,0,102,106
150,0,2,0,37,39
151,1531,0,0,479,2010
152,155,195,0,118,468
153,1,16,0,30,47
154,0,1,0,4,5
155,1,0,0,96,97
156,0,4,0,38,42
157,4,10,0,204,218
158,2207,0,0,956,3163
159,13,79,0,55,147
160,12,2,0,155,169
161,5747,0,0,1176,6923
162,5500,0,0,851,6351
163,4129,0,0,919,5048
164,4041,0,0,1004,5045
165,4,3,0,175,182
166,829,773,0,361,1963
167,3,34,0,54,91
168,26,77,0,93,196
169,3,25,0,62,90
170,5656,0,0,1272,6928
171,1,0,0,107,108
172,0,0,0,6,6
173,3,86,0,199,288
174,0,37,0,67,104
175,0,0,0,30,30
176,0,0,0,5,5
177,7,35,0,242,284
178,0,1,0,72,73
179,153,101,0,206,460
180,2,0,0,47,49
181,212,534,0,903,1649
182,2,51,0,44,97
183,1,5,0,19,25
184,0,4,0,3,7
185,0,14,0,58,72
186,6425,0,0,774,7199
187,0,0,0,32,32
188,23,101,0,314,438
189,65,117,0,317,499
190,5,17,0,21,43
191,3,3,0,62,68
192,2,12,0,83,97
193,68,40,0,39,147
194,5,2,0,1,8
195,7,20,0,94,121
196,24,102,0,103,229
197,4,21,0,172,197
198,5,8,0,710,723
199,0,0,0,0,0
200,0,5,0,105,110
201,1,0,0,3,4
202,5,5,0,30,40
203,1,1,0,46,48
204,0,0,0,1,1
205,0,2,0,58,60
206,0,0,0,106,106
207,0,2,0,1,3
208,0,3,0,33,36
209,278,0,0,187,465
210,2,62,0,78,142
211,1158,0,0,718,1876
212,0,17,0,30,47
213,0,14,0,48,62
214,0,0,0,17,17
215,7,3,0,59,69
216,6,11,0,139,156
217,15,22,0,50,87
218,2,1,0,37,40
219,6,2,0,42,50
220,4,21,0,142,167
221,0,0,0,28,28
222,0,2,0,41,43
223,176,311,0,261,748
224,673,0,0,474,1147
225,18,155,0,530,703
226,387,214,0,330,931
227,1,4,0,145,150
228,22,34,0,288,344
229,3607,0,0,872,4479
230,5069,0,0,1200,6269
231,3425,0,0,1448,4873
232,280,0,0,388,668
233,2321,0,0,587,2908
234,4986,0,0,1260,6246
235,2,20,0,82,104
236,6990,76,0,1490,8556
237,6837,0,0,1227,8064
238,3323,0,0,1072,4395
239,3795,0,0,1310,5105
240,1,1,0,8,10
241,2,24,0,414,440
242,2,25,0,67,94
243,31,170,0,382,583
244,179,409,0,400,988
245,0,0,0,31,31
246,2142,0,0,907,3049
247,26,98,0,85,209
248,1,18,0,26,45
249,3590,0,0,1197,4787
250,5,14,0,37,56
251,0,0,0,17,17
252,0,0,0,45,45
253,0,1,0,3,4
254,2,9,0,221,232
255,258,678,0,960,1896
256,229,451,0,602,1282
257,4,19,0,197,220
258,3,3,0,99,105
259,0,1,0,80,81
260,141,301,0,177,619
261,716,0,0,252,968
262,2741,3,0,1258,4002
263,3137,17,0,1080,4234
