p_id,p_hour,fcount
1,11,7
2,00,0
3,08,81
4,08,233
5,10,8
6,08,19
7,08,281
8,12,4
9,08,31
10,08,105
11,08,64
12,12,18
13,08,185
14,08,193
15,08,31
16,08,52
17,08,311
18,08,153
19,10,25
20,08,80
21,08,109
22,08,137
23,12,34
24,08,71
25,09,159
26,12,153
27,00,2
28,08,85
29,09,78
30,01,2
31,08,15
32,08,95
33,12,149
34,11,18
35,08,234
36,00,196
37,08,291
38,08,33
39,08,369
40,08,80
41,08,197
42,08,320
43,12,155
44,06,6
45,12,91
46,01,7
47,08,151
48,08,399
49,09,248
50,08,210
51,08,104
52,09,39
53,09,49
54,08,32
55,08,112
56,08,133
57,08,8
58,07,10
59,01,8
60,08,103
61,10,751
62,10,267
63,08,131
64,09,26
65,12,150
66,12,98
67,08,86
68,12,331
69,08,206
70,08,89
71,07,180
72,08,240
73,09,44
74,08,264
75,12,222
76,08,383
77,10,112
78,08,136
79,08,462
80,00,212
81,08,113
82,12,180
83,08,66
84,08,10
85,10,132
86,09,60
87,08,187
88,12,64
89,08,282
90,12,231
91,08,244
92,08,125
93,11,13
94,08,70
95,08,187
96,07,12
97,09,183
98,08,40
99,01,1
100,12,227
101,10,27
102,08,100
103,00,0
104,00,0
105,00,0
106,10,48
107,08,312
108,08,75
109,08,14
110,01,1
111,10,4
112,08,265
113,12,179
114,00,183
115,08,43
116,08,166
117,08,46
118,11,20
119,08,167
120,08,19
121,08,76
122,08,51
123,08,118
124,08,60
125,11,96
126,12,75
127,08,103
128,10,13
129,08,242
130,08,145
131,12,58
132,00,648
133,08,91
134,08,67
135,09,58
136,08,90
137,08,370
138,10,383
139,09,49
140,08,335
141,08,343
142,12,268
143,08,312
144,12,187
145,09,136
146,12,75
147,08,80
148,00,347
149,08,99
150,08,66
151,09,143
152,08,77
153,12,18
154,08,5
155,07,105
156,07,38
157,08,103
158,00,153
159,11,139
160,08,95
161,12,475
162,12,324
163,12,279
164,12,318
165,08,137
166,08,140
167,08,161
168,08,158
169,08,148
170,12,314
171,08,71
172,12,16
173,07,82
174,08,122
175,09,37
176,08,12
177,08,172
178,08,51
179,08,110
180,07,44
181,10,286
182,08,109
183,08,44
184,04,5
185,08,115
186,12,186
187,07,28
188,09,261
189,10,103
190,10,35
191,08,102
192,08,51
193,12,54
194,12,4
195,09,75
196,09,76
197,08,139
198,08,189
199,04,1
200,08,54
201,02,15
202,09,22
203,08,55
204,10,6
205,07,114
206,08,64
207,08,1
208,07,106
209,00,52
210,08,141
211,12,152
212,08,85
213,08,172
214,11,22
215,08,136
216,08,214
217,10,37
218,08,74
219,07,65
220,08,104
221,07,51
222,07,63
223,08,178
224,09,189
225,08,334
226,08,198
227,08,78
228,09,113
229,08,256
230,00,385
231,12,311
232,09,244
233,08,299
234,12,355
235,08,200
236,08,259
237,12,304
238,08,286
239,08,291
240,08,25
241,08,134
242,08,124
243,08,175
244,08,243
245,08,27
246,08,294
247,08,145
248,08,98
249,00,201
250,08,80
251,08,21
252,11,39
253,06,2
254,08,142
255,00,297
256,00,216
257,08,51
258,08,114
259,07,101
260,08,116
261,12,123
262,08,355
263,08,294
