p_id,p_hour,gcount
1,00,0
2,00,0
3,11,2
4,00,0
5,00,0
6,00,0
7,00,79
8,00,0
9,02,1
10,07,2
11,01,1
12,00,0
13,00,0
14,12,4
15,00,0
16,04,1
17,11,19
18,11,6
19,08,1
20,00,1
21,10,2
22,11,3
23,00,0
24,10,7
25,00,65
26,12,2
27,00,0
28,09,2
29,00,1
30,00,0
31,00,0
32,06,3
33,12,38
34,00,0
35,10,7
36,02,36
37,05,27
38,12,1
39,09,10
40,00,11
41,12,100
42,11,82
43,12,12
44,00,0
45,00,0
46,00,0
47,09,4
48,00,0
49,00,23
50,00,0
51,09,5
52,11,15
53,02,1
54,04,1
55,08,4
56,06,3
57,06,1
58,00,0
59,00,0
60,10,5
61,00,25
62,09,4
63,01,2
64,00,0
65,00,29
66,12,19
67,10,2
68,12,1
69,09,8
70,04,2
71,10,7
72,10,8
73,08,1
74,11,111
75,10,81
76,08,11
77,11,2
78,00,3
79,00,0
80,02,64
81,01,2
82,00,61
83,00,12
84,00,0
85,06,3
86,00,0
87,00,0
88,00,0
89,10,8
90,00,0
91,08,5
92,10,7
93,02,1
94,09,3
95,00,26
96,00,0
97,12,41
98,10,1
99,00,0
100,00,0
101,10,1
102,03,1
103,00,0
104,00,0
105,00,0
106,01,25
107,00,0
108,08,2
109,00,0
110,00,0
111,00,0
112,01,46
113,00,0
114,00,0
115,10,1
116,09,29
117,11,1
118,00,0
119,09,4
120,02,1
121,12,2
122,12,2
123,08,1
124,00,0
125,00,0
126,09,2
127,04,9
128,00,0
129,03,65
130,11,19
131,10,2
132,05,1
133,02,1
134,01,10
135,06,1
136,08,3
137,00,0
138,00,0
139,10,1
140,00,0
141,00,0
142,00,0
143,00,0
144,00,0
145,00,13
146,00,13
147,12,3
148,00,0
149,11,2
150,00,0
151,00,0
152,12,14
153,12,1
154,00,0
155,07,3
156,00,0
157,02,9
158,00,0
159,11,8
160,00,1
161,00,0
162,00,0
163,00,0
164,00,0
165,07,1
166,12,50
167,10,7
168,00,7
169,10,3
170,06,1
171,00,2
172,00,0
173,03,8
174,11,3
175,00,0
176,00,0
177,11,6
178,11,1
179,12,12
180,06,1
181,00,51
182,09,6
183,01,1
184,00,0
185,09,2
186,11,1
187,00,0
188,09,11
189,00,6
190,12,5
191,07,1
192,10,1
193,10,4
194,00,0
195,09,2
196,11,16
197,00,1
198,01,4
199,00,0
200,08,1
201,00,0
202,10,1
203,10,2
204,00,0
205,10,4
206,00,0
207,00,0
208,01,2
209,00,0
210,00,4
211,00,0
212,09,6
213,10,6
214,00,0
215,12,4
216,10,5
217,02,2
218,10,2
219,08,1
220,03,3
221,07,1
222,10,9
223,12,23
224,00,0
225,12,14
226,12,19
227,12,2
228,00,2
229,00,0
230,11,1
231,00,0
232,00,0
233,00,0
234,00,0
235,09,7
236,11,6
237,00,0
238,00,0
239,00,0
240,06,1
241,00,3
242,12,3
243,09,11
244,12,35
245,00,0
246,00,0
247,12,6
248,10,4
249,00,0
250,09,4
251,00,0
252,00,0
253,00,1
254,08,6
255,02,141
256,02,67
257,12,2
258,04,1
259,11,3
260,00,37
261,00,0
262,00,0
263,10,1
