,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,0,0,0,19,19,-12.901369863013699,-0.40441429062177947
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,2,5,0,490,497,50.26575342465753,0.11251824504164162
3,4,103,0,0,672,775,-939.1095890410959,-0.5478702149764245
4,5,0,1,0,33,34,-19.397260273972606,-0.36326321190354033
5,6,0,0,0,88,88,-1.9561643835616422,-0.021745751355302413
6,7,234,178,0,2104,2516,-863.7753424657535,-0.25557182207133816
7,8,1,0,0,6,7,-12.156164383561645,-0.6345823798627003
8,9,0,1,0,171,172,-39.18356164383562,-0.18554266884616383
9,10,17,7,0,575,599,-165.64109589041095,-0.21662593964757393
10,11,2,4,0,231,237,-36.39999999999998,-0.13313825896122888
11,12,17,0,0,21,38,-31.802739726027397,-0.45560876049925425
12,13,270,0,0,433,703,-1505.1150684931508,-0.6816289105441696
13,14,10,9,0,943,962,-326.7808219178082,-0.25355810418681773
14,15,2,2,0,159,163,-14.701369863013696,-0.08273076270794466
15,16,1,1,0,378,380,-135.73698630136983,-0.2631903274473555
16,17,13,28,0,1515,1556,-754.2575342465752,-0.3264820146956278
17,18,5,8,0,1781,1794,787.5808219178082,0.7825574463103965
18,19,1,1,0,142,144,-34.690410958904096,-0.19413694765569894
19,20,2,2,0,614,618,31.399999999999977,0.05352881009205587
20,21,2,5,0,583,590,-72.5150684931507,-0.1094542176347501
21,22,3,4,0,622,629,-131.18630136986303,-0.1725712514596278
22,23,0,1,0,159,160,-66.35616438356163,-0.2931493585088356
23,24,240,11,0,362,613,-274.08493150684933,-0.30897259300896274
24,25,29,63,0,713,805,-822.2109589041097,-0.5052884842035789
25,26,6,18,0,933,957,-71.72602739726017,-0.0697231580489233
26,27,0,0,0,11,11,1.7589041095890412,0.19033501334123926
27,28,11,6,0,443,460,-59.81095890410961,-0.11506290484949748
28,29,2,8,0,328,338,-89.17260273972602,-0.20875075360125192
29,30,0,0,0,15,15,7.005479452054795,0.8762851267991776
30,31,0,0,0,150,150,34.33698630136986,0.29687092877276927
31,32,4,8,0,687,699,157.75068493150684,0.2914565996476948
32,33,39,47,0,530,616,-882.7671232876712,-0.5889955214331414
33,34,0,0,0,29,29,-126.37534246575342,-0.8133551981943856
34,35,9,22,0,1074,1105,-336.6438356164383,-0.23351387305207144
35,36,6,12,0,1873,1891,-515.104109589041,-0.21408222010685146
36,37,21,11,0,2166,2198,-833.2301369863012,-0.27488184642249314
37,38,5,5,0,169,179,-36.31780821917809,-0.16867071293150618
38,39,10,16,0,1398,1424,-656.7068493150687,-0.31561719015403095
39,40,19,12,0,327,358,-421.8712328767124,-0.540949858248464
40,41,289,189,0,1165,1643,-1007.4465753424656,-0.38010446417403937
41,42,165,172,0,1999,2336,-573.4136986301369,-0.19708909011465847
42,43,696,19,0,475,1190,-1038.1999999999998,-0.46593663046405165
43,44,1,0,0,34,35,-22.78082191780822,-0.3942626837363679
44,45,114,0,0,423,537,-308.0082191780822,-0.3645032227942988
45,46,0,1,0,32,33,0.5534246575342436,0.017056489065270533
46,47,6,10,0,939,955,211.30136986301375,0.28412230613372635
47,48,1611,0,0,2228,3839,-4100.7479452054795,-0.5164833913501964
48,49,15,26,0,868,909,-1035.1287671232876,-0.5324383778626761
49,50,480,1,0,869,1350,-1464.495890410959,-0.520340390405445
50,51,6,14,0,573,593,-120.85205479452054,-0.16929566005004681
51,52,23,11,0,147,181,-311.4,-0.632412672623883
52,53,1,0,0,448,449,112.0219178082192,0.3324308722976984
53,54,0,2,0,79,81,-122.68219178082191,-0.6023216399440439
54,55,4,11,0,332,347,-209.51780821917805,-0.37647997085595847
55,56,9,14,0,1311,1334,474.05479452054794,0.5512616286478909
56,57,0,0,0,59,59,14.717808219178082,0.3323640413289612
57,58,0,1,0,79,80,17.865753424657534,0.2875347237532519
58,59,1,0,0,49,50,10.731506849315068,0.2732854252424475
59,60,2,8,0,672,682,186.92602739726027,0.37757191397992274
60,61,21,40,0,2771,2832,-1192.8931506849317,-0.2963788369094798
61,62,11,12,0,746,769,-265.65479452054797,-0.2567569356730721
62,63,2,7,0,1048,1057,267.08493150684933,0.33811854230903965
63,64,1,0,0,117,118,-28.167123287671245,-0.19270491649641064
64,65,66,28,0,602,696,-737.8712328767124,-0.5146007646700282
65,66,19,30,0,363,412,-617.8876712328768,-0.5999563724199208
66,67,2,3,0,394,399,-11.049315068493172,-0.026946307827992674
67,68,1048,0,0,1457,2505,-3038.6164383561645,-0.5481289104585306
68,69,16,17,0,1911,1944,608.7698630136986,0.45592879171206435
69,70,16,7,0,769,792,139.26301369863017,0.2133524170090956
70,71,2,8,0,878,888,-248.21369863013706,-0.21845687913232611
71,72,8,8,0,1114,1130,-388.66301369863004,-0.25592446131420565
72,73,1,1,0,269,271,-10.071232876712315,-0.0358316031620707
73,74,396,231,0,1440,2067,-861.6246575342466,-0.2942079502464105
74,75,558,152,0,1279,1989,-1040.8465753424657,-0.34353111600207614
75,76,16,27,0,1855,1898,-490.23287671232856,-0.20527013152385262
76,77,3,10,0,600,613,-113.34246575342468,-0.15604548969315205
77,78,6,7,0,1157,1170,287.6602739726028,0.3260198600234744
78,79,1129,0,0,1747,2876,-5084.260273972603,-0.6387052808557578
79,80,18,20,0,1015,1053,-1467.5424657534245,-0.5822327874625814
80,81,3,8,0,556,567,-81.92328767123286,-0.12624494948428797
81,82,72,239,0,2130,2441,574.2054794520548,0.3075890105374387
82,83,27,37,0,645,709,129.86301369863008,0.22423539986280946
83,84,0,0,0,61,61,-31.257534246575347,-0.33880738848963593
84,85,7,11,0,562,580,-180.90684931506848,-0.23775163737573407
85,86,3,0,0,252,255,-12.484931506849307,-0.04667527040314648
86,87,171,0,0,600,771,-1563.635616438356,-0.6697557449345297
87,88,130,0,0,189,319,-452.4630136986301,-0.5864999431785897
88,89,15,22,0,1587,1624,-430.10410958904095,-0.20938768759636564
89,90,568,0,0,692,1260,-2683.5534246575344,-0.6804912056923837
90,91,11,19,0,992,1022,-332.8246575342466,-0.2456588427759949
91,92,6,32,0,1287,1325,63.26027397260282,0.05013734026729788
92,93,5,0,0,69,74,-64.12054794520549,-0.4642361248859444
93,94,3,13,0,745,761,353.26575342465753,0.866411777749407
94,95,18,99,0,1109,1226,-269.89315068493147,-0.18042274647848627
95,96,0,1,0,66,67,14.038356164383565,0.2650664735399101
96,97,31,41,0,744,816,-977.6191780821919,-0.5450539278507831
97,98,2,2,0,149,153,-84.06849315068493,-0.35461689587426326
98,99,0,0,0,6,6,-3.1589041095890416,-0.344899790607239
99,100,759,0,0,769,1528,-2779.7013698630135,-0.645286460503043
100,101,3,0,0,113,116,-60.457534246575335,-0.3426180384119738
101,102,1,7,0,533,541,5.046575342465758,0.00941607070743216
102,103,0,0,0,0,0,0.0,
103,104,0,0,0,0,0,0.0,
104,105,0,0,0,0,0,-0.1589041095890411,-1.0
105,106,13,4,0,184,201,-341.0164383561644,-0.629162538668392
106,107,920,1,0,913,1834,-3539.024657534246,-0.6586652552527746
107,108,2,6,0,315,323,-36.986301369862986,-0.10274363560257233
108,109,0,0,0,79,79,-34.11506849315069,-0.30159614406471774
109,110,0,0,0,0,0,-0.6821917808219178,-1.0
110,111,0,0,0,12,12,-8.682191780821917,-0.41979070075506686
111,112,22,17,0,901,940,-1334.945205479452,-0.5868032347610359
112,113,618,0,0,645,1263,-1970.7561643835616,-0.6094325187809079
113,114,541,0,0,715,1256,-1904.7424657534248,-0.6026250118101262
114,115,0,1,0,126,127,-39.61369863013698,-0.23775775314894593
115,116,133,74,0,1323,1530,-92.41643835616446,-0.05696221769658657
116,117,0,4,0,238,242,3.7287671232876676,0.015649254332003343
117,118,0,1,0,92,93,-48.80000000000001,-0.34414668547249655
118,119,2,13,0,1394,1409,504.17808219178085,0.5572124992430207
119,120,0,0,0,157,157,40.372602739726034,0.3461673988113417
120,121,5,4,0,323,332,-174.43287671232878,-0.34443434605730117
121,122,1,5,0,214,220,-37.89041095890411,-0.14692446616381602
122,123,3,8,0,672,683,11.391780821917791,0.016961943729424746
123,124,3,1,0,226,230,-46.468493150684935,-0.16807880211275283
124,125,121,0,0,260,381,-1111.3917808219178,-0.7447051069993372
125,126,3,7,0,668,678,132.65479452054797,0.24324921753721412
126,127,6,18,0,1077,1101,138.38082191780825,0.14375448263299903
127,128,0,1,0,37,38,-20.249315068493154,-0.3476318141197498
128,129,144,211,0,2509,2864,502.7808219178082,0.2129327199206354
129,130,11,66,0,1012,1089,-193.8027397260273,-0.1510775848260337
130,131,3,3,0,260,266,-86.83561643835617,-0.24610785417556394
131,132,1062,0,0,2234,3296,-2437.287671232877,-0.4251117004754737
132,133,4,3,0,443,450,-86.54520547945208,-0.16130086448562345
133,134,5,26,0,387,418,-122.6602739726028,-0.22687125331279367
134,135,8,4,0,374,386,-92.38082191780819,-0.19311146619017341
135,136,7,7,0,1085,1099,464.85205479452054,0.7330340787336259
136,137,549,0,0,855,1404,-2166.780821917808,-0.6068086869454131
137,138,735,0,0,1122,1857,-3267.1589041095895,-0.6375990606944916
138,139,2,3,0,245,250,-97.26301369863012,-0.2800845752696231
139,140,651,0,0,779,1430,-2534.194520547945,-0.6392709811317886
140,141,1097,1,0,900,1998,-2893.0575342465754,-0.5914993871958666
141,142,1064,0,0,940,2004,-2590.0657534246575,-0.5637850854646316
142,143,507,0,0,694,1201,-1911.0849315068494,-0.6140850823700096
143,144,381,0,0,879,1260,-1461.2684931506851,-0.5369806385619922
144,145,38,27,0,925,990,-798.304109589041,-0.44640288265763384
145,146,70,16,0,494,580,-246.61369863013704,-0.29834213858157066
146,147,5,4,0,792,801,259.26575342465753,0.47858475823458907
147,148,552,0,0,1146,1698,-3716.6547945205475,-0.6864066012632384
148,149,4,10,0,415,429,-107.98630136986299,-0.20109693877551016
149,150,1,2,0,169,172,-156.6191780821918,-0.47659780234438837
150,151,492,0,0,722,1214,-921.495890410959,-0.4315137737088431
151,152,89,28,0,654,771,-78.4630136986301,-0.09236778109619612
152,153,1,3,0,199,203,58.632876712328766,0.40613732113713136
153,154,0,0,0,11,11,-12.627397260273973,-0.5344387755102041
154,155,1,3,0,462,466,-207.5643835616438,-0.30815819337728945
155,156,0,0,0,150,150,-72.23835616438356,-0.32504900329154185
156,157,4,2,0,629,635,-33.64931506849314,-0.05032430948507929
157,158,277,0,0,479,756,-2208.750684931507,-0.7450038534968867
158,159,12,22,0,1115,1149,218.60273972602738,0.23495634505808388
159,160,5,1,0,462,468,-41.657534246575324,-0.08173632576266628
160,161,1681,0,0,1297,2978,-2719.572602739726,-0.47732127212069164
161,162,1174,1,0,829,2004,-3176.8164383561643,-0.6131883798925224
162,163,1110,0,0,828,1938,-2191.0602739726028,-0.5306438096299732
163,164,1110,2,0,1636,2748,-2493.8328767123285,-0.4757558921406242
164,165,4,13,0,687,704,-59.326027397260304,-0.07772043041627488
165,166,352,116,0,753,1221,-784.5643835616438,-0.3911938155624557
166,167,6,7,0,1222,1235,310.3397260273972,0.3356256722202304
167,168,23,17,0,1411,1451,257.81369863013697,0.21607162128340598
168,169,7,17,0,1863,1887,762.8465753424657,0.6785964963589038
169,170,1107,0,0,998,2105,-4031.032876712329,-0.6569444717304296
170,171,1,5,0,497,503,22.52876712328765,0.04688889902607025
171,172,0,0,0,68,68,-16.45753424657535,-0.19486164725727453
172,173,21,49,0,1136,1206,543.3068493150685,0.8198467854293191
173,174,4,10,0,1184,1198,353.1753424657534,0.41804573211268603
174,175,0,2,0,123,125,-86.1917808219178,-0.40812090549393526
175,176,0,0,0,42,42,-15.19178082191781,-0.2656287425149701
176,177,2,10,0,937,949,-226.21369863013706,-0.19248728881718982
177,178,1,3,0,287,291,-7.830136986301397,-0.026202634932568185
178,179,74,37,0,701,812,-284.99726027397264,-0.2597976044195363
179,180,5,1,0,386,392,64.27397260273972,0.19612104999164018
180,181,25,39,0,1243,1307,-1399.9068493150685,-0.5171610724873257
181,182,4,12,0,497,513,-83.08219178082197,-0.13938042928712607
182,183,3,2,0,272,277,44.77808219178081,0.19282453014947906
183,184,0,0,0,45,45,-1.4739726027397282,-0.03171608795613988
184,185,4,2,0,648,654,45.78356164383558,0.07527511385186414
185,186,1210,0,0,838,2048,-3739.224657534247,-0.6461170731753504
186,187,0,0,0,100,100,-26.016438356164386,-0.20645273502043657
187,188,11,27,0,1461,1499,-472.7095890410958,-0.23974605168451268
188,189,6,7,0,513,526,-438.6465753424658,-0.45472257566118335
189,190,1,2,0,77,80,-103.08767123287672,-0.5630508626752659
190,191,7,4,0,521,532,-44.339726027397205,-0.07693331558631696
191,192,2,2,0,312,316,-19.736986301369882,-0.05878704791748275
192,193,33,6,0,242,281,-118.71232876712327,-0.2969944137907399
193,194,4,0,0,10,14,-9.539726027397261,-0.4052607076350093
194,195,3,4,0,194,201,-229.0,-0.5325581395348837
195,196,7,22,0,416,445,-111.52602739726024,-0.2003967863261327
196,197,9,6,0,1058,1073,138.43287671232872,0.1481251300873307
197,198,7,5,0,1467,1479,-115.34794520547939,-0.07234803767418119
198,199,0,0,0,0,0,-0.23835616438356164,-1.0
199,200,3,5,0,327,335,-60.64931506849314,-0.15329058526992215
200,201,0,1,0,150,151,59.989041095890414,0.659140853126223
201,202,5,1,0,177,183,29.684931506849324,0.19362044317369556
202,203,1,3,0,282,286,-87.03013698630139,-0.2333059138047534
203,204,0,0,0,33,33,-9.010958904109586,-0.21449067431850782
204,205,5,10,0,553,568,-252.64931506849314,-0.3078651385304653
205,206,1,0,0,276,277,-128.34520547945203,-0.31663185784482695
206,207,0,0,0,2,2,-2.235616438356164,-0.5278137128072444
207,208,0,7,0,681,688,38.76164383561638,0.059703256080887106
208,209,79,0,0,241,320,-389.17808219178085,-0.5487734209001353
209,210,5,13,0,528,546,-213.12054794520543,-0.28074664626334
210,211,182,0,0,397,579,-1296.7205479452055,-0.6913186238566951
211,212,8,11,0,651,670,137.88219178082193,0.2591196717175618
212,213,8,11,0,1183,1202,171.53972602739736,0.166469033654332
213,214,0,0,0,83,83,-41.66301369863014,-0.3342050898861589
214,215,6,7,0,557,570,-120.57534246575347,-0.1746012854082362
215,216,14,8,0,1283,1305,50.326027397260304,0.04011084034274037
216,217,11,4,0,277,292,-69.82191780821915,-0.1929731571574603
217,218,11,6,0,334,351,-98.66027397260274,-0.21941069665988325
218,219,2,2,0,308,312,-113.61095890410957,-0.266936169117079
219,220,4,3,0,677,684,-63.81643835616444,-0.08533703604649892
220,221,1,1,0,177,179,-94.46027397260275,-0.3454259465199924
221,222,6,9,0,180,195,-138.56712328767122,-0.41541001379854126
222,223,59,45,0,981,1085,-559.0767123287671,-0.34005512524829695
223,224,185,0,0,389,574,-757.6493150684933,-0.5689555849991359
224,225,13,25,0,1681,1719,-733.5890410958905,-0.2991080155720262
225,226,169,34,0,1207,1410,-355.9479452054795,-0.2015619691236497
226,227,3,4,0,610,617,75.30136986301375,0.13900971070200294
227,228,5,5,0,758,768,-168.93150684931504,-0.1803029416924966
228,229,893,1,0,891,1785,-2406.47397260274,-0.5741354922713297
229,230,1890,1,0,1732,3623,-2259.2356164383564,-0.3840777153034724
230,231,432,0,0,855,1287,-3247.8739726027397,-0.7161993899333566
231,232,82,0,0,792,874,-800.7671232876712,-0.47813640007197894
232,233,464,0,0,851,1315,-1985.1123287671235,-0.6015287150873238
233,234,859,0,0,1174,2033,-3530.3068493150686,-0.634569860145267
234,235,13,4,0,1951,1968,829.9013698630138,0.7291998671179521
235,236,1454,3,0,857,2314,-3981.3534246575346,-0.6324273088566301
236,237,1276,0,0,779,2055,-4088.983561643836,-0.6655264488614321
237,238,1132,0,0,1011,2143,-2182.380821917808,-0.5045522953398988
238,239,1222,0,0,856,2078,-2570.331506849315,-0.5529578738224527
239,240,0,0,0,202,202,5.36986301369862,0.027309460777483575
240,241,6,10,0,1504,1520,636.5424657534246,0.7205128046095353
241,242,2,9,0,764,775,-28.64657534246578,-0.035645738091098486
242,243,30,31,0,1886,1947,332.0164383561644,0.20558502652387148
243,244,114,80,0,2509,2703,425.98904109589057,0.1870825607712106
244,245,0,0,0,119,119,-58.72328767123287,-0.33041976907305487
245,246,422,0,0,914,1336,-2640.432876712329,-0.6640204823211827
246,247,21,31,0,1441,1493,456.79999999999995,0.4408415363829376
247,248,5,4,0,811,820,274.20000000000005,0.5023818248442654
248,249,709,0,0,941,1650,-3223.364383561644,-0.6614248658348597
249,250,2,10,0,531,543,44.643835616438366,0.0895821880153931
250,251,0,0,0,101,101,-23.16712328767123,-0.1865801725469429
251,252,0,0,0,292,292,2.767123287671211,0.009567111868902075
252,253,0,0,0,2,2,-14.50958904109589,-0.8788582807832724
253,254,6,8,0,974,988,-21.515068493150693,-0.02131228068270946
