,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,1,0,0,21,22,-9.901369863013699,-0.3103744417725867
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,1,11,0,406,418,-28.734246575342468,-0.06432067117222093
3,4,151,0,0,845,996,-718.1095890410959,-0.4189403020858307
4,5,0,0,0,48,48,-5.397260273972606,-0.1010774756285275
5,6,1,0,0,101,102,12.043835616438358,0.13388560638362676
6,7,220,262,0,2533,3015,-364.7753424657535,-0.10792887263318145
7,8,0,0,0,11,11,-8.156164383561645,-0.42577231121281467
8,9,2,4,0,176,182,-29.183561643835617,-0.1381904984302431
9,10,26,16,0,702,744,-20.641095890410952,-0.026994489311844744
10,11,1,3,0,274,278,4.600000000000023,0.016825164594001546
11,12,26,0,0,32,58,-11.802739726027397,-0.16908705549886177
12,13,484,0,0,663,1147,-1061.1150684931508,-0.48055243299311884
13,14,6,25,0,1167,1198,-90.78082191780823,-0.07043930230333437
14,15,2,1,0,174,177,-0.7013698630136957,-0.0039469018362343926
15,16,3,4,0,644,651,135.26301369863017,0.2622713074520304
16,17,10,37,0,1922,1969,-341.25753424657523,-0.14771406615404314
17,18,2,15,0,1156,1173,166.58082191780818,0.16551833027987461
18,19,2,2,0,165,169,-9.690410958904096,-0.05423016773481333
19,20,3,7,0,594,604,17.399999999999977,0.029662461643368526
20,21,3,14,0,708,725,62.48493150684931,0.09431473256746808
21,22,1,14,0,791,806,45.81369863013697,0.06026640909942766
22,23,0,0,0,283,283,56.643835616438366,0.25024207213749705
23,24,235,17,0,400,652,-235.08493150684933,-0.26500836972568304
24,25,52,99,0,1056,1207,-420.2109589041097,-0.25824000053878227
25,26,10,24,0,1195,1229,200.27397260273983,0.19468154520153946
26,27,0,0,0,8,8,-1.2410958904109588,-0.13430180847909873
27,28,9,14,0,456,479,-40.81095890410961,-0.07851115526719411
28,29,1,17,0,429,447,19.827397260273983,0.04641542349183548
29,30,0,0,0,14,14,6.005479452054795,0.7511994516792324
30,31,1,2,0,134,137,21.336986301369862,0.18447544827912926
31,32,3,12,0,562,577,35.75068493150684,0.06605215736297554
32,33,46,129,0,761,936,-562.7671232876712,-0.3754867013984096
33,34,0,0,0,73,73,-82.37534246575342,-0.5301699816617295
34,35,10,42,0,1235,1287,-154.6438356164383,-0.10726909920182437
35,36,6,13,0,1720,1739,-667.104109589041,-0.2772548814203145
36,37,13,18,0,2249,2280,-751.2301369863012,-0.24783012276764527
37,38,7,8,0,234,249,33.68219178082191,0.15643012558689923
38,39,11,43,0,1835,1889,-191.70684931506867,-0.09213544396135145
39,40,35,38,0,403,476,-303.8712328767124,-0.38964282828566715
40,41,322,330,0,1407,2059,-591.4465753424656,-0.22314978194421614
41,42,159,232,0,2075,2466,-443.4136986301369,-0.15240654804055986
42,43,980,56,0,546,1582,-646.1999999999998,-0.29000987344044515
43,44,0,0,0,57,57,-0.7808219178082183,-0.013513513513513499
44,45,111,0,0,473,584,-261.0082191780822,-0.3088824620332784
45,46,0,0,0,32,32,-0.44657534246575636,-0.01376340454276797
46,47,3,13,0,858,874,130.30136986301375,0.17520722048259355
47,48,2541,0,0,2985,5526,-2413.7479452054795,-0.30400813248272607
48,49,20,56,0,1228,1304,-640.1287671232876,-0.3292625354597686
49,50,632,0,0,1029,1661,-1153.495890410959,-0.4098410284914401
50,51,8,36,0,866,910,196.14794520547946,0.2747739449484948
51,52,31,65,0,217,313,-179.39999999999998,-0.3643379366368806
52,53,5,1,0,317,323,-13.9780821917808,-0.041480686520809384
53,54,3,0,0,132,135,-68.68219178082191,-0.33720273324007316
54,55,7,33,0,476,516,-40.51780821917805,-0.07280595089819765
55,56,1,19,0,907,927,67.05479452054794,0.0779756594877023
56,57,0,0,0,45,45,0.7178082191780817,0.016209862030563623
57,58,1,0,0,82,83,20.865753424657534,0.33581727589399885
58,59,0,1,0,38,39,-0.2684931506849324,-0.0068373683108909735
59,60,1,8,0,468,477,-18.07397260273973,-0.03650762028090448
60,61,24,82,0,3300,3406,-618.8931506849317,-0.1537663554073758
61,62,14,26,0,889,929,-105.65479452054797,-0.10211598600817162
62,63,3,7,0,755,765,-24.91506849315067,-0.03154145234965436
63,64,0,1,0,133,134,-12.167123287671245,-0.08324117636033072
64,65,75,103,0,845,1023,-410.8712328767124,-0.28654681358827433
65,66,20,63,0,446,529,-500.88767123287676,-0.48635175002460707
66,67,1,6,0,415,422,11.950684931506828,0.02914450650773707
67,68,1491,0,0,1619,3110,-2433.6164383561645,-0.4389943758586947
68,69,14,38,0,1370,1422,86.76986301369857,0.0649849494930841
69,70,16,2,0,602,620,-32.736986301369825,-0.05015341092722314
70,71,14,20,0,952,986,-150.21369863013706,-0.13220549867620895
71,72,5,26,0,1401,1432,-86.66301369863004,-0.05706533504596683
72,73,0,4,0,282,286,4.928767123287685,0.017535651275453062
73,74,380,461,0,1708,2549,-379.6246575342466,-0.12962557579975828
74,75,751,385,0,1433,2569,-460.8465753424657,-0.15210228105044424
75,76,29,48,0,2272,2349,-39.23287671232856,-0.01642757584274488
76,77,4,21,0,672,697,-29.342465753424676,-0.04039756332157746
77,78,3,13,0,920,936,53.660273972602795,0.060815888018779525
78,79,1552,0,0,2450,4002,-3958.2602739726026,-0.4972526196052652
79,80,30,34,0,1404,1468,-1052.5424657534245,-0.41758569040367477
80,81,3,21,0,628,652,3.076712328767144,0.004741257383146825
81,82,56,350,0,2002,2408,541.2054794520548,0.289911649886994
82,83,37,24,0,617,678,98.86301369863008,0.17070747687868099
83,84,0,0,0,82,82,-10.257534246575347,-0.11118370255983849
84,85,7,18,0,649,674,-86.90684931506848,-0.1142148337780082
85,86,1,3,0,307,311,43.51506849315069,0.16268231727302526
86,87,328,0,0,897,1225,-1109.635616438356,-0.4752928502526574
87,88,187,0,0,231,418,-353.4630136986301,-0.4581723393374623
