,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,2,0,0,30,32,0.09863013698630141,0.0030917210580556523
1,2,0,0,0,1,1,0.4904109589041096,0.9623655913978494
2,3,3,8,0,435,446,-0.7342465753424676,-0.001643586944522812
3,4,162,0,0,1410,1572,-142.1095890410959,-0.08290577799088947
4,5,1,0,0,60,61,7.602739726027394,0.14238070805541297
5,6,0,0,0,85,85,-4.956164383561642,-0.055095328013644376
6,7,212,265,0,2234,2711,-668.7753424657535,-0.197875679505325
7,8,0,0,0,14,14,-5.156164383561645,-0.2691647597254005
8,9,0,7,0,221,228,16.816438356164383,0.07962948548299213
9,10,34,19,0,712,765,0.35890410958904795,0.00046937590919189415
10,11,3,7,0,289,299,25.600000000000023,0.09363569861009519
11,12,38,0,0,58,96,26.197260273972603,0.375304184001884
12,13,1137,0,0,1528,2665,456.88493150684917,0.206911740255744
13,14,11,30,0,1200,1241,-47.780821917808225,-0.037074435858462394
14,15,3,1,0,179,183,5.298630136986304,0.029817609965927153
15,16,4,6,0,382,392,-123.73698630136983,-0.239922653577272
16,17,14,53,0,1960,2027,-283.25753424657523,-0.12260863996660512
17,18,6,16,0,964,986,-20.41917808219182,-0.02028893976474307
18,19,5,10,0,200,215,36.309589041095904,0.20319830731961616
19,20,2,8,0,578,588,1.3999999999999773,0.002386634844868696
20,21,7,27,0,670,704,41.48493150684931,0.0626173403137897
21,22,5,11,0,793,809,48.81369863013697,0.06421281012585232
22,23,0,0,0,250,250,23.643835616438366,0.10445412732994437
23,24,372,38,0,437,847,-40.08493150684933,-0.045187253309284546
24,25,81,129,0,1154,1364,-263.2109589041097,-0.16175589124680945
25,26,5,21,0,1124,1150,121.27397260273983,0.1178875321251183
26,27,0,0,0,3,3,-6.241095890410959,-0.6753631781796621
27,28,12,11,0,474,497,-22.81095890410961,-0.043883181978696194
28,29,1,16,0,491,508,80.82739726027398,0.18921484369989355
29,30,0,0,0,3,3,-4.994520547945205,-0.6247429746401645
30,31,0,3,0,118,121,5.336986301369862,0.04614254921003386
