,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,0,0,0,39,39,7.098630136986301,0.22251803503950532
1,2,0,0,0,1,1,0.4904109589041096,0.9623655913978494
2,3,1,9,0,484,494,47.26575342465753,0.10580284316010254
3,4,494,0,0,1372,1866,151.8904109589041,0.08861184368257013
4,5,0,0,0,49,49,-4.397260273972606,-0.08234992303745516
5,6,0,0,0,85,85,-4.956164383561642,-0.055095328013644376
6,7,439,535,0,3531,4505,1125.2246575342465,0.33292883210199586
7,8,2,0,0,17,19,-0.15616438356164508,-0.008152173913043542
8,9,0,2,0,189,191,-20.183561643835617,-0.09557354505591448
9,10,28,8,0,777,813,48.35890410958905,0.06324392498584708
10,11,2,2,0,251,255,-18.399999999999977,-0.06730065837600578
11,12,61,0,0,35,96,26.197260273972603,0.375304184001884
12,13,688,0,0,913,1601,-607.1150684931508,-0.274947205947675
13,14,12,11,0,1448,1471,182.21917808219177,0.14138880326527142
14,15,1,0,0,131,132,-45.701369863013696,-0.257180740352446
15,16,2,3,0,647,652,136.26301369863017,0.2642102802745374
16,17,50,74,0,2877,3001,690.7424657534248,0.2989893791120957
17,18,5,10,0,1078,1093,86.58082191780818,0.08602858908431625
18,19,2,3,0,159,164,-14.690410958904096,-0.08221152371899046
19,20,1,10,0,538,549,-37.60000000000002,-0.06409819297647464
20,21,3,7,0,626,636,-26.515068493150693,-0.04002183460288317
21,22,5,8,0,837,850,89.81369863013697,0.11814695748698946
22,23,1,0,0,165,166,-60.356164383561634,-0.2666424594529169
23,24,344,19,0,438,801,-86.08493150684933,-0.0970424910280247
24,25,166,166,0,1592,1924,296.7890410958903,0.18239125017678784
25,26,7,11,0,984,1002,-26.726027397260168,-0.02597973287880997
26,27,0,0,0,41,41,31.75890410958904,3.436703231544619
27,28,18,10,0,436,464,-55.81095890410961,-0.10736779967427572
28,29,3,5,0,447,455,27.827397260273983,0.06514321630600703
29,30,0,0,0,20,20,12.005479452054795,1.5017135023989034
30,31,0,4,0,148,152,36.33698630136986,0.3141625411564062
31,32,3,9,0,576,588,46.75068493150684,0.08637550871651581
32,33,120,159,0,1375,1654,155.2328767123288,0.1035737135545197
33,34,0,1,0,55,56,-99.37534246575342,-0.6395824516857103
34,35,8,32,0,1507,1547,105.35616438356169,0.0730805777271
35,36,50,115,0,3541,3706,1299.895890410959,0.5402492291295655
36,37,89,62,0,4320,4471,1439.7698630136988,0.4749787373271307
37,38,3,3,0,308,314,98.68219178082191,0.45830947563970426
38,39,10,45,0,2506,2561,480.29315068493133,0.2308317247300047
39,40,61,41,0,721,823,43.128767123287616,0.05530242084221835
40,41,603,569,0,1970,3142,491.5534246575344,0.18546060472621317
41,42,318,385,0,2734,3437,527.5863013698631,0.18133767006674606
42,43,1171,40,0,718,1929,-299.1999999999998,-0.13427879005475266
43,44,0,0,0,70,70,12.219178082191782,0.21147463252726412
44,45,309,0,0,719,1028,182.9917808219178,0.2165562140921058
45,46,0,1,0,68,69,36.553424657534244,1.1265726589546565
46,47,6,21,0,688,715,-28.698630136986253,-0.038589058758519
47,48,4054,0,0,4684,8738,798.2520547945205,0.10053871486897206
48,49,65,105,0,2090,2260,315.8712328767124,0.16247444007739498
49,50,1530,0,0,2010,3540,725.504109589041,0.25777408738127755
50,51,10,30,0,793,833,119.14794520547946,0.16690845729900675
51,52,62,44,0,327,433,-59.39999999999998,-0.12063363119415106
52,53,0,4,0,327,331,-5.9780821917808,-0.017740270087888258
53,54,11,2,0,202,215,11.31780821917809,0.0555660174324761
54,55,5,45,0,708,758,201.48219178082195,0.3620408705797794
55,56,12,25,0,902,939,79.05479452054794,0.09193003695679877
56,57,2,13,0,112,127,82.71780821917808,1.867970055064035
57,58,1,1,0,59,61,-1.1342465753424662,-0.018254773138145428
58,59,0,0,0,26,26,-13.268493150684932,-0.3378915788739273
59,60,2,7,0,497,506,10.92602739726027,0.022069484565749125
60,61,43,135,0,5134,5312,1287.1068493150683,0.319786588395778
61,62,10,16,0,1239,1265,230.34520547945203,0.22263000828811938
62,63,3,6,0,956,965,175.08493150684933,0.2216503248138347
63,64,1,1,0,138,140,-6.167123287671245,-0.04219227380930075
64,65,213,106,0,1368,1687,253.12876712328762,0.17653521551962972
65,66,47,102,0,937,1086,56.112328767123245,0.05448393095137383
66,67,3,4,0,358,365,-45.04931506849317,-0.1098631638025497
67,68,3030,0,0,3205,6235,691.3835616438355,0.12471706319004455
68,69,15,25,0,1197,1237,-98.23013698630143,-0.07356794477992613
69,70,28,12,0,685,725,72.26301369863017,0.11070770496413422
70,71,9,24,0,1473,1506,369.78630136986294,0.32545488741747397
71,72,9,20,0,1723,1752,233.33698630136996,0.15364632192700148
72,73,2,1,0,253,256,-25.071232876712315,-0.08919885759959446
73,74,627,508,0,1763,2898,-30.62465753424658,-0.010457010069713403
74,75,803,377,0,1364,2544,-485.8465753424657,-0.16035352393629046
75,76,10,61,0,2812,2883,494.76712328767144,0.2071687095978572
76,77,4,15,0,973,992,265.6575342465753,0.3657469400071667
77,78,3,9,0,924,936,53.660273972602795,0.060815888018779525
78,79,5070,1,0,5499,10570,2609.7397260273974,0.3278460296782476
79,80,151,183,0,3215,3549,1028.4575342465755,0.4080302348483367
80,81,4,13,0,684,701,52.076712328767144,0.08025095310672688
81,82,98,386,0,1833,2317,450.20547945205476,0.24116498869940411
82,83,31,50,0,621,702,122.86301369863008,0.21214844951155465
83,84,0,0,0,122,122,29.742465753424653,0.3223852230207281
84,85,7,15,0,1013,1035,274.0931506849315,0.3602190608898539
85,86,0,4,0,248,252,-15.484931506849307,-0.05789085545722711
