,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,1,0,0,27,28,-3.9013698630136986,-0.12229474407420131
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,0,11,0,441,452,5.265753424657532,0.011787216818555357
3,4,245,0,0,1336,1581,-133.1095890410959,-0.07765523855190602
4,5,0,0,0,56,56,2.6027397260273943,0.04874294510005125
5,6,1,1,0,75,77,-12.956164383561642,-0.14402753243588962
6,7,210,310,0,2036,2556,-823.7753424657535,-0.24373671590395082
7,8,2,0,0,15,17,-2.156164383561645,-0.11255720823798633
8,9,0,6,0,222,228,16.816438356164383,0.07962948548299213
9,10,37,18,0,740,795,30.358904109589048,0.03970346908210138
10,11,4,7,0,246,257,-16.399999999999977,-0.059985369422092094
11,12,43,0,0,50,93,23.197260273972603,0.3323259282518251
12,13,1404,1,0,1398,2803,594.8849315068492,0.26940848327836786
13,14,13,41,0,1265,1319,30.219178082191775,0.023447880018282113
14,15,3,6,0,163,172,-5.701369863013696,-0.03208399500470235
15,16,4,9,0,493,506,-9.736986301369825,-0.01887975181147865
16,17,21,68,0,2046,2135,-175.25753424657523,-0.07586060499689291
17,18,2,16,0,989,1007,0.5808219178081799,0.0005771172990910012
18,19,2,6,0,178,186,7.309589041095904,0.04090644261138888
19,20,1,11,0,553,565,-21.600000000000023,-0.036822366177974804
20,21,3,16,0,662,681,18.484931506849307,0.027901148797856226
21,22,2,23,0,766,791,30.81369863013697,0.04053440396730432
22,23,1,0,0,212,213,-13.356164383561634,-0.059005083514887396
23,24,415,38,0,406,859,-28.08493150684933,-0.03165979999135233
24,25,125,146,0,1318,1589,-38.2109589041097,-0.023482486210542688
25,26,7,33,0,1327,1367,338.27397260273983,0.32882804905655366
26,27,1,0,0,5,6,-3.241095890410959,-0.35072635635932403
27,28,14,11,0,466,491,-28.81095890410961,-0.055425839741528836
28,29,4,11,0,445,460,32.82739726027398,0.07684808681486426
29,30,0,0,0,7,7,-0.9945205479452053,-0.12440027416038381
30,31,0,3,0,117,120,4.336986301369862,0.0374967430182154
31,32,3,16,0,501,520,-21.24931506849316,-0.03925975419627854
32,33,181,268,0,1081,1530,31.23287671232879,0.02083904579106116
33,34,3,1,0,148,152,-3.3753424657534197,-0.021723797432642092
34,35,15,37,0,1502,1554,112.35616438356169,0.0779361459521095
35,36,13,33,0,2053,2099,-307.10410958904095,-0.12763542041474418
36,37,27,32,0,2467,2526,-505.2301369863012,-0.16667495180310174
37,38,3,9,0,236,248,32.68219178082191,0.15178582789377915
38,39,11,47,0,2131,2189,108.29315068493133,0.05204632777586112
39,40,109,73,0,614,796,16.128767123287616,0.02068132076598518
40,41,493,462,0,1433,2388,-262.4465753424656,-0.09901975681534149
41,42,244,324,0,2281,2849,-60.41369863013688,-0.02076490485302312
42,43,1648,81,0,726,2455,226.80000000000018,0.1017861951350867
43,44,0,0,0,46,46,-11.780821917808218,-0.20388809862494073
44,45,208,0,0,594,802,-43.008219178082186,-0.050896805737481676
45,46,1,2,0,29,32,-0.44657534246575636,-0.01376340454276797
46,47,6,25,0,740,771,27.301369863013747,0.03671025971633825
47,48,4107,1,0,3405,7513,-426.7479452054795,-0.05374829883147321
48,49,26,96,0,1646,1768,-176.12876712328762,-0.09059521678901136
49,50,1106,0,0,1434,2540,-274.49589041095896,-0.09752932713320765
50,51,17,35,0,663,715,1.1479452054794592,0.001608099602388748
51,52,132,92,0,326,550,57.60000000000002,0.1169780666125102
52,53,1,1,0,346,348,11.0219178082192,0.03270811483206914
53,54,3,3,0,205,211,7.31780821917809,0.035927579898848636
54,55,4,40,0,541,585,28.48219178082195,0.05117929985378755
55,56,4,31,0,780,815,-44.945205479452056,-0.05226519689053141
56,57,0,0,0,32,32,-12.282191780821918,-0.277361875889377
57,58,0,1,0,74,75,12.865753424657534,0.20706380351867365
58,59,0,1,0,35,36,-3.2684931506849324,-0.08323449382543782
59,60,1,13,0,502,516,20.92602739726027,0.04226848623700899
60,61,17,101,0,3669,3787,-237.8931506849317,-0.05910545740685029
61,62,14,32,0,1016,1062,27.345205479452034,0.026429303400776892
62,63,4,9,0,704,717,-72.91506849315067,-0.09230747886889173
63,64,2,4,0,150,156,9.832876712328755,0.06727146632677916
64,65,197,124,0,1056,1377,-56.871232876712384,-0.039662719756650776
65,66,59,170,0,911,1140,110.11232876712324,0.10691683359536479
66,67,2,5,0,398,405,-5.049315068493172,-0.012313921479541436
67,68,2661,0,0,2528,5189,-354.6164383561645,-0.06396842968834945
68,69,9,53,0,1314,1376,40.76986301369857,0.03053395956574102
69,70,29,16,0,589,634,-18.736986301369825,-0.028705262141708827
70,71,7,24,0,1164,1195,58.78630136986294,0.05173877188836745
71,72,7,27,0,1544,1578,59.33698630136996,0.039071858447949956
72,73,0,4,0,227,231,-50.071232876712315,-0.17814428166213406
73,74,519,679,0,1692,2890,-38.62465753424658,-0.013188667736877754
74,75,947,659,0,1463,3069,39.15342465753429,0.012922576666479803
75,76,20,53,0,2379,2452,63.76712328767144,0.02670054662988061
76,77,6,17,0,649,672,-54.342465753424676,-0.07481658902740322
77,78,4,26,0,920,950,67.6602739726028,0.07668279232675272
78,79,2608,0,0,3655,6263,-1697.2602739726026,-0.2132166808065407
79,80,31,40,0,1675,1746,-774.5424657534245,-0.3072919723738529
80,81,7,24,0,611,642,-6.923287671232856,-0.010668884601257268
81,82,38,276,0,1205,1519,-347.79452054794524,-0.18630573248407645
82,83,10,36,0,417,463,-116.13698630136992,-0.2005345696241456
83,84,0,0,0,90,90,-2.2575342465753465,-0.024469917443725172
84,85,6,17,0,678,701,-59.906849315068484,-0.07873085827653376
85,86,2,1,0,280,283,15.515068493150693,0.0580035234349394
86,87,933,0,0,1504,2437,102.36438356164399,0.043845978721856284
87,88,418,0,0,460,878,106.5369863013699,0.13809733507585661
88,89,19,43,0,1967,2029,-25.104109589040945,-0.012221439737084921
89,90,1919,0,0,1811,3730,-213.55342465753438,-0.05415253748618348
90,91,13,42,0,1381,1436,81.17534246575337,0.05991575516014807
91,92,8,63,0,1038,1109,-152.73972602739718,-0.12105486010835219
92,93,4,5,0,88,97,-41.12054794520549,-0.2977149204586028
93,94,1,7,0,399,407,-0.7342465753424676,-0.0018007969198309446
94,95,25,213,0,1234,1472,-23.89315068493147,-0.015972498218867707
95,96,0,0,0,57,57,4.038356164383565,0.07625058196678916
96,97,75,160,0,1394,1629,-164.61917808219187,-0.09178045155505594
97,98,1,6,0,264,271,33.93150684931507,0.1431295504449324
98,99,0,0,0,5,5,-4.1589041095890416,-0.45408315883936584
99,100,3114,1,0,1647,4762,454.2986301369865,0.10546196013384125
100,101,1,4,0,175,180,3.542465753424665,0.02007545763659234
101,102,1,9,0,547,557,21.046575342465758,0.03926941106107156
102,103,0,0,0,0,0,0.0,
103,104,0,0,0,0,0,0.0,
104,105,0,0,0,0,0,-0.1589041095890411,-1.0
105,106,13,22,0,361,396,-146.01643835616437,-0.26939485230190663
106,107,2823,0,0,2540,5363,-10.024657534246217,-0.001865738233713349
107,108,2,19,0,333,354,-5.986301369862986,-0.016629247688268123
108,109,0,0,0,98,98,-15.115068493150687,-0.1336255964347131
109,110,0,0,0,1,1,0.3178082191780822,0.4658634538152611
110,111,1,1,0,18,20,-0.6821917808219169,-0.032984501258444786
111,112,36,55,0,1889,1980,-294.94520547945194,-0.12964936683707567
112,113,1689,0,0,1514,3203,-30.756164383561554,-0.009510972015239894
113,114,1048,0,0,1308,2356,-804.7424657534248,-0.2546055157839627
114,115,0,0,0,173,173,6.38630136986302,0.038329989804979155
115,116,148,177,0,1217,1542,-80.41643835616446,-0.04956584293342254
