,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,1,0,0,35,36,4.098630136986301,0.12847818619031262
1,2,0,0,0,1,1,0.4904109589041096,0.9623655913978494
2,3,0,8,0,418,426,-20.734246575342468,-0.04641293282145004
3,4,353,0,0,1526,1879,164.8904109589041,0.09619595620554623
4,5,0,0,0,45,45,-8.397260273972606,-0.15726013340174452
5,6,0,0,0,96,96,6.043835616438358,0.06718645306694282
6,7,295,407,0,2338,3040,-339.7753424657535,-0.10053193127856437
7,8,1,0,0,15,16,-3.156164383561645,-0.16475972540045772
8,9,2,2,0,166,170,-41.18356164383562,-0.19501310292934798
9,10,28,2,0,661,691,-73.64109589041095,-0.09630805391731817
10,11,3,10,0,239,252,-21.399999999999977,-0.07827359180687629
11,12,28,0,0,34,62,-7.802739726027397,-0.11178271449878327
12,13,894,1,0,1061,1956,-252.11506849315083,-0.11417659889672224
13,14,7,22,0,1101,1130,-158.78082191780823,-0.12320234691382957
14,15,1,5,0,176,182,4.298630136986304,0.024190191332233563
15,16,0,8,0,499,507,-8.736986301369825,-0.01694077898897169
16,17,28,99,0,2032,2159,-151.25753424657523,-0.06547215278140131
17,18,1,21,0,801,823,-183.41917808219182,-0.18224928745069324
18,19,2,4,0,135,141,-37.690410958904096,-0.2109257612462052
19,20,1,11,0,490,502,-84.60000000000002,-0.14422093419706788
20,21,4,10,0,622,636,-26.515068493150693,-0.04002183460288317
21,22,12,6,0,639,657,-103.18630136986303,-0.13573817521299755
22,23,1,0,0,207,208,-18.356164383561634,-0.08109416606148628
23,24,431,18,0,457,906,18.91506849315067,0.021322725503882176
24,25,133,175,0,1196,1504,-123.2109589041097,-0.07571910589091013
25,26,6,18,0,863,887,-141.72602739726017,-0.1377684860913218
26,27,0,0,0,1,1,-8.241095890410959,-0.8917877260598873
27,28,9,9,0,454,472,-47.81095890410961,-0.0919775893238322
28,29,2,15,0,376,393,-34.17260273972602,-0.0799971780038225
29,30,0,0,0,7,7,-0.9945205479452053,-0.12440027416038381
30,31,0,3,0,105,108,-7.663013698630138,-0.06625293128360614
31,32,6,4,0,506,516,-25.24931506849316,-0.04665006377938409
32,33,101,234,0,1004,1339,-159.7671232876712,-0.10659903116716934
33,34,0,3,0,161,164,8.62465753424658,0.05550853434899143
34,35,6,48,0,1355,1409,-32.64383561643831,-0.022643481565944475
35,36,13,43,0,1983,2039,-367.10410958904095,-0.1525719972490059
36,37,33,37,0,2642,2712,-319.2301369863012,-0.10531372497625174
37,38,0,8,0,192,200,-15.31780821917809,-0.07114046137598456
38,39,10,31,0,2079,2120,39.293150684931334,0.018884520276302226
39,40,70,61,0,599,730,-49.871232876712384,-0.06394803497591811
40,41,560,539,0,1649,2748,97.55342465753438,0.03680641049892864
41,42,257,360,0,2144,2761,-148.41369863013688,-0.05101154871856681
