,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,1,0,0,27,28,-3.9013698630136986,-0.12229474407420131
1,2,0,0,0,1,1,0.4904109589041096,0.9623655913978494
2,3,4,14,0,477,495,48.26575342465753,0.1080413104539489
3,4,195,0,0,1428,1623,-91.10958904109589,-0.053152721169983215
4,5,1,0,0,60,61,7.602739726027394,0.14238070805541297
5,6,1,0,0,123,124,34.04383561643836,0.37844916854480115
6,7,233,344,0,2362,2939,-440.7753424657535,-0.13041557435121734
7,8,3,0,0,19,22,2.843835616438355,0.14845537757437063
8,9,2,7,0,258,267,55.81643835616438,0.2643029501050829
9,10,37,22,0,775,834,69.35890410958905,0.09070779020688371
10,11,2,5,0,294,301,27.600000000000023,0.10095098756400887
11,12,26,0,0,17,43,-26.802739726027397,-0.3839783342491561
12,13,1132,0,0,1372,2504,295.88493150684917,0.13399887339601613
13,14,19,42,0,1202,1263,-25.780821917808225,-0.020004039072713944
14,15,4,2,0,202,208,30.298630136986304,0.17050307580826693
15,16,5,3,0,491,499,-16.736986301369825,-0.03245256156902736
16,17,16,58,0,1993,2067,-243.25753424657523,-0.10529455294078578
17,18,2,20,0,1054,1076,69.58082191780818,0.0691370190802601
18,19,1,6,0,181,188,9.309589041095904,0.052098985005059724
19,20,1,15,0,653,669,82.39999999999998,0.14047050801227406
20,21,7,24,0,744,775,112.4849315068493,0.1697847141238452
21,22,10,28,0,823,861,100.81369863013697,0.1326170945838799
22,23,2,0,0,295,297,70.64383561643837,0.3120915032679739
23,24,363,22,0,424,809,-78.08493150684933,-0.08802418881606988
24,25,97,131,0,1350,1578,-49.2109589041097,-0.030242519345649064
25,26,10,30,0,1205,1245,216.27397260273983,0.210234763039802
26,27,0,0,0,4,4,-5.241095890410959,-0.5671509042395494
27,28,20,13,0,487,520,0.18904109589038853,0.0003636727788289305
28,29,7,18,0,455,480,52.82739726027398,0.12366756885029313
29,30,0,0,0,2,2,-5.994520547945205,-0.7498286497601097
30,31,1,1,0,115,117,1.336986301369862,0.011559324442760017
31,32,4,20,0,559,583,41.75068493150684,0.07713762173763386
32,33,147,243,0,1014,1404,-94.76712328767121,-0.06323005209761447
33,34,1,0,0,181,182,26.62465753424658,0.1713570320214417
34,35,17,52,0,1381,1450,8.35616438356169,0.005796275180539752
35,36,9,27,0,1855,1891,-515.104109589041,-0.21408222010685146
36,37,17,28,0,2371,2416,-615.2301369863012,-0.20296384938887324
37,38,4,10,0,240,254,38.68219178082191,0.1796516140524996
38,39,21,50,0,1987,2058,-22.706849315068666,-0.010913045882721708
39,40,90,59,0,586,735,-44.871232876712384,-0.05753672014698605
40,41,440,443,0,1591,2474,-176.44657534246562,-0.06657239462359918
41,42,215,305,0,2315,2835,-74.41369863013688,-0.025576870922541434
42,43,1656,87,0,803,2546,317.8000000000002,0.14262633515842393
43,44,0,0,0,54,54,-3.7808219178082183,-0.0654338549075391
44,45,183,0,0,518,701,-144.0082191780822,-0.17042227035158936
45,46,0,0,0,21,21,-11.446575342465756,-0.3527822342311915
46,47,5,22,0,865,892,148.30136986301375,0.19941057284951197
47,48,3595,0,0,3396,6991,-948.7479452054795,-0.11949345895525479
48,49,22,87,0,1615,1724,-220.12876712328762,-0.11322746252503144
49,50,986,0,0,1712,2698,-116.49589041095896,-0.041391387639918995
