,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,0,0,0,21,21,-10.901369863013699,-0.341721058055651
1,2,1,0,0,0,1,0.4904109589041096,0.9623655913978494
2,3,0,3,0,328,331,-115.73424657534247,-0.25906732573685437
3,4,198,0,0,1028,1226,-488.1095890410959,-0.2847598497562535
4,5,0,0,0,36,36,-17.397260273972606,-0.32580810672139565
5,6,0,0,0,75,75,-14.956164383561642,-0.16626058354145093
6,7,264,336,0,2689,3289,-90.77534246575351,-0.026858395386578367
7,8,1,0,0,16,17,-2.156164383561645,-0.11255720823798633
8,9,1,1,0,150,152,-59.18356164383562,-0.28024700967800525
9,10,12,3,0,566,581,-183.64109589041095,-0.24016639555131963
10,11,1,2,0,183,186,-87.39999999999998,-0.31967812728602774
11,12,46,0,0,40,86,16.197260273972603,0.23204333150168774
12,13,412,0,0,677,1089,-1119.1150684931508,-0.5068191800605985
13,14,5,7,0,935,947,-341.7808219178082,-0.2651970110861917
14,15,0,2,0,95,97,-80.7013698630137,-0.45414039253172167
15,16,1,3,0,421,425,-90.73698630136983,-0.17593655043454234
16,17,21,41,0,2026,2088,-222.25753424657523,-0.09620465725223062
17,18,2,9,0,755,766,-240.41917808219182,-0.23888572805252858
18,19,2,0,0,120,122,-56.690410958904096,-0.31725491398607825
19,20,0,10,0,352,362,-224.60000000000002,-0.3828844186839414
20,21,1,8,0,462,471,-191.5150684931507,-0.28907277373892765
21,22,1,3,0,543,547,-213.18630136986303,-0.2804395461819021
22,23,0,0,0,122,122,-104.35616438356163,-0.46102638586298716
23,24,183,11,0,374,568,-319.08493150684933,-0.3597005429512085
24,25,64,94,0,1059,1217,-410.2109589041097,-0.25209451587050374
25,26,4,12,0,692,708,-320.72602739726017,-0.3117701106568837
26,27,1,0,0,29,30,20.75890410958904,2.2463682182033797
27,28,8,4,0,335,347,-172.8109589041096,-0.3324496260495122
28,29,1,9,0,309,319,-108.17260273972602,-0.2532292615349094
29,30,0,0,0,17,17,9.005479452054795,1.126456477039068
30,31,0,2,0,105,107,-8.663013698630138,-0.0748987374754246
31,32,0,7,0,451,458,-83.24931506849316,-0.15380955273441457
32,33,46,84,0,908,1038,-460.7671232876712,-0.3074307650123389
33,34,0,1,0,56,57,-98.37534246575342,-0.6331464240372408
34,35,5,19,0,1068,1092,-349.6438356164383,-0.24253135689851765
35,36,22,44,0,2270,2336,-70.10410958904095,-0.02913594191941039
36,37,22,22,0,2621,2665,-366.2301369863012,-0.12081898121744501
37,38,1,3,0,138,142,-73.31780821917809,-0.34050972757694903
38,39,6,15,0,1649,1670,-410.70684931506867,-0.19738813732951666
39,40,41,28,0,503,572,-207.87123287671238,-0.26654558357017144
40,41,297,293,0,1327,1917,-733.4465753424656,-0.2767256590515116
41,42,162,210,0,1838,2210,-699.4136986301369,-0.2403967847403233
42,43,729,29,0,516,1274,-954.1999999999998,-0.42823803967327884
43,44,0,0,0,51,51,-6.780821917808218,-0.11735419630156471
44,45,161,0,0,546,707,-138.0082191780822,-0.1633217477012463
45,46,0,2,0,52,54,21.553424657534244,0.6642742548340791
46,47,0,7,0,478,485,-258.69863013698625,-0.34785411678025413
47,48,2665,0,0,3344,6009,-1930.7479452054795,-0.24317496708083622
48,49,19,59,0,1410,1488,-456.1287671232876,-0.23461859874550278
49,50,678,0,0,1210,1888,-926.495890410959,-0.329187153396652
50,51,0,11,0,598,609,-104.85205479452054,-0.14688205222677658
51,52,28,39,0,258,325,-167.39999999999998,-0.3399675060926076
52,53,0,2,0,262,264,-72.9780821917808,-0.21656625771360272
53,54,0,1,0,119,120,-83.68219178082191,-0.41084687399117614
54,55,10,15,0,420,445,-111.51780821917805,-0.20038497703429836
55,56,8,13,0,632,653,-206.94520547945206,-0.24064929272333377
56,57,0,1,0,37,38,-6.282191780821918,-0.14186722761863516
57,58,0,2,0,49,51,-11.134246575342466,-0.1791966136073019
58,59,0,0,0,32,32,-7.268493150684932,-0.18509732784483363
