,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,3,0,0,50,53,21.0986301369863,0.6613706630024047
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,0,3,0,366,369,-77.73424657534247,-0.17400556857069263
3,4,131,0,0,1015,1146,-568.1095890410959,-0.33143131143610643
4,5,0,0,0,51,51,-2.3972602739726057,-0.044894817855310465
5,6,0,0,0,72,72,-17.956164383561642,-0.19961016019979289
6,7,287,299,0,2851,3437,57.22465753424649,0.016931497432754683
7,8,2,0,0,11,13,-6.156164383561645,-0.3213672768878719
8,9,1,0,0,182,183,-28.183561643835617,-0.13345528138865104
9,10,23,4,0,696,723,-41.64109589041095,-0.054458354532881385
10,11,0,4,0,206,210,-63.39999999999998,-0.23189465983906357
11,12,42,0,0,52,94,24.197260273972603,0.3466520135018447
12,13,460,0,0,663,1123,-1085.1150684931508,-0.4914214317796621
13,14,3,13,0,836,852,-436.7808219178082,-0.33891008811556
14,15,0,0,0,119,119,-58.701369863013696,-0.3303371825904627
15,16,1,1,0,353,355,-160.73698630136983,-0.31166464801002947
16,17,16,39,0,2347,2402,91.74246575342477,0.039710925900451166
17,18,2,4,0,853,859,-147.41917808219182,-0.146478903912692
18,19,2,0,0,129,131,-47.690410958904096,-0.26688847321455944
19,20,1,5,0,501,507,-79.60000000000002,-0.1356972383225367
20,21,2,5,0,526,533,-129.5150684931507,-0.19548999660902003
21,22,7,5,0,606,618,-142.18630136986303,-0.18704138855651825
22,23,0,0,0,183,183,-43.356164383561634,-0.19153957879448072
23,24,209,19,0,351,579,-308.08493150684933,-0.34730037740977066
24,25,70,75,0,1139,1284,-343.2109589041097,-0.21091976859303765
25,26,15,15,0,1008,1038,9.273972602739832,0.009015007257280688
26,27,0,0,0,103,103,93.75890410958904,10.145864215831605
27,28,6,5,0,416,427,-92.81095890410961,-0.17854752254507703
28,29,1,5,0,293,299,-128.17260273972602,-0.3000487435703382
29,30,0,0,0,16,16,8.005479452054795,1.0013708019191228
30,31,1,0,0,150,151,35.33698630136986,0.3055167349645877
31,32,0,5,0,473,478,-63.24931506849316,-0.11685800481888681
32,33,40,70,0,803,913,-585.7671232876712,-0.390832647838406
33,34,1,1,0,72,74,-81.37534246575342,-0.52373395401326
34,35,11,16,0,1813,1840,398.3561643835617,0.2763207905739263
35,36,24,28,0,2469,2521,114.89589041095905,0.04775183665289658
36,37,20,18,0,3075,3113,81.7698630136988,0.02697580167733346
37,38,2,4,0,246,252,36.68219178082191,0.17036301866625944
38,39,9,19,0,2733,2761,680.2931506849313,0.32695290588814646
39,40,26,18,0,440,484,-295.8712328767124,-0.37938472455937583
40,41,301,271,0,1370,1942,-708.4465753424656,-0.2672932863213539
41,42,123,174,0,2067,2364,-545.4136986301369,-0.18746515797562185
42,43,809,32,0,701,1542,-686.1999999999998,-0.30796158334081314
43,44,0,0,0,51,51,-6.780821917808218,-0.11735419630156471
44,45,177,0,0,610,787,-58.008219178082186,-0.06864811236333924
45,46,1,1,0,55,57,24.553424657534244,0.7567339356581946
46,47,4,6,0,599,609,-134.69863013698625,-0.18111991158592738
47,48,2486,0,0,3847,6333,-1606.7479452054795,-0.2023676263143511
48,49,29,52,0,1728,1809,-135.12876712328762,-0.06950607871681083
49,50,828,0,0,1406,2234,-580.495890410959,-0.2062521719746401
50,51,1,7,0,566,574,-139.85205479452054,-0.19591181934018023
51,52,29,34,0,195,258,-234.39999999999998,-0.4760357432981316
52,53,1,1,0,287,289,-47.9780821917808,-0.14237745636072419
53,54,0,2,0,149,151,-52.68219178082191,-0.2586489831055633
54,55,2,15,0,487,504,-52.51780821917805,-0.09436860320289073
55,56,6,11,0,630,647,-212.94520547945206,-0.247626481457882
56,57,1,0,0,48,49,4.717808219178082,0.1065396275443915
57,58,1,0,0,57,58,-4.134246575342466,-0.06653732527889238
58,59,0,2,0,34,36,-3.2684931506849324,-0.08323449382543782
59,60,1,7,0,509,517,21.92602739726027,0.044288386404134975
60,61,31,45,0,4346,4422,397.1068493150683,0.09866270592735886
61,62,11,8,0,1010,1029,-5.654794520547966,-0.005465392467608831
62,63,1,1,0,815,817,27.08493150684933,0.034288409712852796
63,64,0,0,0,116,116,-30.167123287671245,-0.20638788401342062
64,65,86,60,0,1109,1255,-178.87123287671238,-0.12474706847828375
65,66,32,72,0,685,789,-240.88767123287676,-0.23389703359057648
66,67,1,1,0,258,260,-150.04931506849317,-0.36592992490044635
67,68,1709,0,0,2416,4125,-1418.6164383561645,-0.2559009004556642
68,69,10,12,0,1053,1075,-260.23013698630143,-0.19489534408926482
69,70,20,7,0,567,594,-58.736986301369825,-0.0899856872431783
70,71,5,7,0,2083,2095,958.7863013698629,0.8438432862812801
71,72,6,12,0,2297,2315,796.33698630137,0.5243671434138176
72,73,1,1,0,279,281,-0.07123287671231537,-0.0002534335370548597
73,74,412,444,0,2592,3448,519.3753424657534,0.17734445454783582
74,75,529,239,0,1264,2032,-997.8465753424657,-0.3293389782384207
75,76,3,20,0,2515,2538,149.76712328767144,0.06271043529634461
76,77,3,7,0,976,986,259.6575342465753,0.3574863738377685
77,78,3,9,0,753,765,-117.3397260273972,-0.13298701460003595
78,79,2286,0,0,3758,6044,-1916.2602739726026,-0.24072834405152993
79,80,80,82,0,3278,3440,919.4575342465755,0.36478557562081665
80,81,2,5,0,526,533,-115.92328767123286,-0.17863943223126189
81,82,51,248,0,1463,1762,-104.79452054794524,-0.0561360767853474
82,83,32,37,0,553,622,42.863013698630084,0.07401187406864243
83,84,0,0,0,86,86,-6.2575342465753465,-0.06782681000178183
84,85,7,9,0,1292,1308,547.0931506849315,0.7190014798492066
85,86,0,2,0,234,236,-31.484931506849307,-0.11770730907899046
86,87,460,0,0,1186,1646,-688.635616438356,-0.2949649236864278
87,88,219,0,0,338,557,-214.4630136986301,-0.277995198590829
88,89,21,22,0,2157,2200,145.89589041095905,0.07102653158127806
89,90,1248,0,0,1400,2648,-1295.5534246575344,-0.3285243751376445
90,91,8,7,0,1632,1647,292.1753424657534,0.2156554657024818
91,92,13,53,0,1524,1590,328.2602739726028,0.26016480832075745
92,93,43,69,0,415,527,388.8794520547945,2.8155075970960444
93,94,0,2,0,343,345,-62.73424657534247,-0.1538606263816749
94,95,28,97,0,966,1091,-404.89315068493147,-0.27066983393803307
95,96,1,1,0,42,44,-8.961643835616435,-0.16921007707826802
96,97,68,91,0,1266,1425,-368.61917808219187,-0.20551696959236018
97,98,0,0,0,192,192,-45.06849315068493,-0.19010747717554605
98,99,0,0,0,7,7,-2.1589041095890416,-0.2357164223751122
99,100,1433,0,0,1482,2915,-1392.7013698630135,-0.323304995004169
100,101,1,0,0,143,144,-32.457534246575335,-0.18393963389072612
101,102,0,3,0,351,354,-181.95342465753424,-0.3394948446757283
102,103,0,0,0,0,0,0.0,
103,104,0,0,0,0,0,0.0,
104,105,0,0,0,0,0,-0.1589041095890411,-1.0
105,106,21,21,0,690,732,189.98356164383563,0.3505125457449605
106,107,1416,0,0,1810,3226,-2147.024657534246,-0.39959330067908994
107,108,0,6,0,270,276,-83.98630136986299,-0.23330415921458192
108,109,0,0,0,92,92,-21.115068493150687,-0.1866689272652409
109,110,0,0,0,0,0,-0.6821917808219178,-1.0
110,111,0,0,0,11,11,-9.682191780821917,-0.46814147569214465
111,112,43,66,0,1675,1784,-490.94520547945194,-0.21580528809966817
