,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,1,0,0,39,40,8.098630136986301,0.2538646513225696
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,1,4,0,283,288,-158.73424657534247,-0.3553214193722479
3,4,297,0,0,1170,1467,-247.1095890410959,-0.14416207144569648
4,5,0,0,0,33,33,-20.397260273972606,-0.38199076449461267
5,6,0,0,0,65,65,-24.956164383561642,-0.27742583906925744
6,7,238,369,0,1936,2543,-836.7753424657535,-0.2475831254083517
7,8,0,0,0,18,18,-1.156164383561645,-0.06035469107551494
8,9,1,0,0,172,173,-38.18356164383562,-0.18080745180457175
9,10,13,4,0,465,482,-282.64109589041095,-0.36963890302192093
10,11,0,2,0,203,205,-68.39999999999998,-0.25018288222384777
11,12,14,0,0,24,38,-31.802739726027397,-0.45560876049925425
12,13,587,0,0,877,1464,-744.1150684931508,-0.3369910740208596
13,14,4,13,0,942,959,-329.7808219178082,-0.25588588556669256
14,15,0,0,0,123,123,-54.701369863013696,-0.3078275080556883
15,16,0,0,0,338,338,-177.73698630136983,-0.3446271859926478
16,17,15,46,0,1709,1770,-540.2575342465752,-0.23385164910749434
17,18,1,15,0,564,580,-426.4191780821918,-0.4236993763322018
18,19,1,0,0,121,122,-56.690410958904096,-0.31725491398607825
19,20,0,6,0,348,354,-232.60000000000002,-0.3965223320831913
20,21,1,8,0,500,509,-153.5150684931507,-0.23171558775608103
21,22,2,6,0,545,553,-207.18630136986303,-0.2725467441290527
22,23,0,0,0,148,148,-78.35616438356163,-0.34616315662067293
23,24,310,29,0,380,719,-168.08493150684933,-0.1894800887005615
24,25,70,165,0,1068,1303,-324.2109589041097,-0.19924334772330846
25,26,3,14,0,1118,1135,106.27397260273983,0.10330639040174719
26,27,0,0,0,2,2,-7.241095890410959,-0.7835754521197746
27,28,8,7,0,312,327,-192.8109589041096,-0.37092515192562103
28,29,1,6,0,326,333,-94.17260273972602,-0.22045562411010913
29,30,0,0,0,6,6,-1.9945205479452053,-0.24948594928032897
30,31,0,1,0,61,62,-53.66301369863014,-0.4639600161072554
31,32,2,2,0,289,293,-248.24931506849316,-0.4586598230375185
32,33,90,189,0,901,1180,-318.7671232876712,-0.2126862261219267
33,34,0,2,0,83,85,-70.37534246575342,-0.4529376498800959
34,35,3,13,0,878,894,-547.6438356164383,-0.3798745724059293
35,36,11,52,0,1853,1916,-490.10410958904095,-0.20369197975924241
36,37,23,19,0,2068,2110,-921.2301369863012,-0.3039129644911103
37,38,0,0,0,131,131,-84.31780821917809,-0.39159700220126986
38,39,8,19,0,1395,1422,-658.7068493150687,-0.3165784019656124
39,40,68,57,0,542,667,-112.87123287671238,-0.14473060182046216
40,41,340,424,0,1317,2081,-569.4465753424656,-0.2148492939416774
41,42,121,222,0,1610,1953,-956.4136986301369,-0.3287307333021952
42,43,1159,48,0,652,1859,-369.1999999999998,-0.16569428238039666
43,44,0,0,0,24,24,-33.78082191780822,-0.5846372688477952
44,45,128,0,0,495,623,-222.0082191780822,-0.26272906480604874
45,46,0,0,0,15,15,-17.446575342465756,-0.5377015958794225
46,47,0,5,0,414,419,-324.69863013698625,-0.43659974212562164
47,48,3577,1,0,3468,7046,-893.7479452054795,-0.11256628691156133
48,49,23,88,0,1475,1586,-358.1287671232876,-0.18421041506073077
49,50,842,0,0,1169,2011,-803.495890410959,-0.2854848334113703
50,51,6,6,0,444,456,-257.85205479452054,-0.3612121770367982
51,52,68,71,0,267,406,-86.39999999999998,-0.1754670999187652
52,53,1,0,0,199,200,-136.9780821917808,-0.40648958917697176
53,54,3,1,0,129,133,-70.68219178082191,-0.3470219520068869
54,55,3,19,0,368,390,-166.51780821917805,-0.29921380009747495
55,56,5,16,0,553,574,-285.94520547945206,-0.3325156110615522
56,57,0,0,0,20,20,-24.28219178082192,-0.5483511724308606
57,58,0,0,0,40,40,-22.134246575342466,-0.356232638123374
58,59,0,0,0,21,21,-18.268493150684932,-0.46522012139817204
59,60,0,2,0,261,263,-232.07397260273973,-0.4687662560458656
60,61,20,74,0,3223,3317,-707.8931506849317,-0.17587874365421768
61,62,6,12,0,828,846,-188.65479452054797,-0.18233597864683876
62,63,0,1,0,532,533,-256.91506849315067,-0.3252439138593017
63,64,0,0,0,96,96,-50.167123287671245,-0.34321755918352054
64,65,113,98,0,904,1115,-318.8712328767124,-0.22238484569982978
65,66,24,110,0,527,661,-368.88767123287676,-0.35818243245040693
66,67,0,4,0,260,264,-146.04931506849317,-0.3561750006681455
67,68,2085,0,0,2107,4192,-1351.6164383561645,-0.24381492720245923
68,69,2,23,0,775,800,-535.2301369863014,-0.4008523490896855
69,70,12,7,0,421,440,-212.73698630136983,-0.32591532388383576
70,71,3,8,0,706,717,-419.21369863013706,-0.36895673686697955
71,72,0,14,0,1008,1022,-496.66301369863004,-0.32703964554258247
72,73,0,1,0,200,201,-80.07123287671232,-0.28487879053718157
73,74,346,507,0,1194,2047,-881.6246575342466,-0.30103709441432136
74,75,607,382,0,1101,2090,-939.8465753424657,-0.3101960947432575
75,76,3,14,0,1583,1600,-788.2328767123286,-0.33004858294950695
76,77,1,11,0,466,478,-248.34246575342468,-0.3419082285046112
77,78,0,4,0,479,483,-399.3397260273972,-0.45259180137492466
78,79,2848,0,0,3773,6621,-1339.2602739726026,-0.16824327696313363
79,80,38,68,0,1679,1785,-735.5424657534245,-0.29181911265024485
80,81,0,6,0,426,432,-216.92328767123286,-0.33428186627374323
81,82,65,300,0,1056,1421,-445.79452054794524,-0.23880213683994247
82,83,15,47,0,349,411,-168.13698630136992,-0.29032334366203855
83,84,0,0,0,59,59,-33.25753424657535,-0.3604858347686643
84,85,3,13,0,538,554,-206.90684931506848,-0.2719213915623391
85,86,0,1,0,164,165,-102.4849315068493,-0.3831428220255654
86,87,501,0,0,1263,1764,-570.635616438356,-0.24442170436382663
87,88,181,0,0,254,435,-336.4630136986301,-0.4361362861526223
88,89,18,29,0,1461,1508,-546.104109589041,-0.2658599956251967
89,90,1702,0,0,1661,3363,-580.5534246575344,-0.14721581328848124
90,91,4,12,0,989,1005,-349.8246575342466,-0.25820659196660944
91,92,4,43,0,1100,1147,-114.73972602739718,-0.0909377137459693
92,93,11,4,0,58,73,-65.12054794520549,-0.4714761772523506
93,94,0,7,0,238,245,-162.73424657534247,-0.3991184158362619
94,95,13,193,0,921,1127,-368.89315068493147,-0.2466039439488206
95,96,0,0,0,26,26,-26.961643835616435,-0.5090786819098857
96,97,70,130,0,1144,1344,-449.61917808219187,-0.25067705763658393
97,98,0,1,0,158,159,-78.06849315068493,-0.3293077545359991
98,99,0,0,0,0,0,-9.158904109589042,-1.0
99,100,2278,0,0,1420,3698,-609.7013698630135,-0.14153752024885657
100,101,0,1,0,113,114,-62.457534246575335,-0.35395221016349154
101,102,2,3,0,310,315,-220.95342465753424,-0.41226236178772435
102,103,0,0,0,0,0,0.0,
103,104,0,0,0,0,0,0.0,
104,105,0,0,0,0,0,-0.1589041095890411,-1.0
105,106,13,17,0,311,341,-201.01643835616437,-0.37086778948219734
106,107,2046,0,0,1961,4007,-1366.0246575342462,-0.25423755605118203
107,108,0,11,0,266,277,-82.98630136986299,-0.23052627573347534
108,109,0,0,0,68,68,-45.11506849315069,-0.39884225058735195
109,110,0,0,0,0,0,-0.6821917808219178,-1.0
110,111,0,0,0,14,14,-6.682191780821917,-0.32308915088091134
111,112,37,77,0,1611,1725,-549.9452054794519,-0.24173997868381591
112,113,1320,0,0,1202,2522,-711.7561643835616,-0.2201019892046316
113,114,1311,0,0,1552,2863,-297.74246575342477,-0.09420016625190374
114,115,1,0,0,86,87,-79.61369863013698,-0.4778340513697504
115,116,111,142,0,949,1202,-420.41643835616446,-0.2591297945564033
116,117,0,1,0,127,128,-110.27123287671233,-0.46279708861778335
117,118,0,0,0,90,90,-51.80000000000001,-0.3653032440056418
118,119,17,6,0,554,577,-327.82191780821915,-0.36230545630715194
119,120,0,0,0,73,73,-43.627397260273966,-0.37407503112593665
120,121,2,6,0,287,295,-211.43287671232878,-0.41749437375573445
121,122,1,2,0,158,161,-96.89041095890411,-0.37570381387442897
122,123,1,10,0,660,671,-0.6082191780822086,-0.0009056160432737862
123,124,0,1,0,188,189,-87.46849315068494,-0.3163777982578708
124,125,527,0,0,614,1141,-351.3917808219178,-0.23545545166993131
125,126,3,2,0,299,304,-241.34520547945203,-0.44255492311015765
126,127,8,38,0,701,747,-215.61917808219175,-0.22399219025717504
127,128,1,0,0,32,33,-25.249315068493154,-0.43346973331451955
128,129,99,243,0,1356,1698,-663.2191780821918,-0.28087997261688585
