,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,0,0,0,40,40,8.098630136986301,0.2538646513225696
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,0,2,0,321,323,-123.73424657534247,-0.2769750640876253
3,4,195,0,0,793,988,-726.1095890410959,-0.423607448253816
4,5,0,0,0,32,32,-21.397260273972606,-0.400718317085685
5,6,0,0,0,65,65,-24.956164383561642,-0.27742583906925744
6,7,273,384,0,2279,2936,-443.7753424657535,-0.13130320731377138
7,8,0,0,0,18,18,-1.156164383561645,-0.06035469107551494
8,9,0,0,0,99,99,-112.18356164383562,-0.5312135128823849
9,10,24,7,0,540,571,-193.64109589041095,-0.25324442660895613
10,11,1,5,0,161,167,-106.39999999999998,-0.3891733723482077
11,12,36,0,0,31,67,-2.802739726027397,-0.040152288248685136
12,13,414,0,0,571,985,-1223.1150684931508,-0.553918174802286
13,14,7,13,0,851,871,-417.7808219178082,-0.3241674727096863
14,15,0,3,0,84,87,-90.7013698630137,-0.5104145788686576
15,16,1,1,0,352,354,-161.73698630136983,-0.31360362083253646
16,17,16,49,0,1853,1918,-392.25753424657523,-0.1697895271119628
17,18,2,11,0,722,735,-271.4191780821918,-0.26968800276580746
18,19,4,0,0,145,149,-29.690410958904096,-0.1661555916715218
19,20,0,4,0,324,328,-258.6,-0.44084555063075354
20,21,0,4,0,395,399,-263.5150684931507,-0.3977495471801107
21,22,1,5,0,448,454,-306.18630136986303,-0.4027779780010668
22,23,0,0,0,135,135,-91.35616438356163,-0.40359477124183
23,24,210,15,0,356,581,-306.08493150684933,-0.34504580185678196
24,25,67,149,0,1070,1286,-341.2109589041097,-0.20969067165938193
25,26,7,11,0,963,981,-47.72602739726017,-0.046393331291529526
26,27,0,0,0,21,21,11.758904109589041,1.272457752742366
27,28,7,6,0,296,309,-210.8109589041096,-0.40555312521411896
28,29,0,8,0,277,285,-142.17260273972602,-0.33282238099513844
29,30,0,0,0,15,15,7.005479452054795,0.8762851267991776
30,31,0,0,0,101,101,-14.663013698630138,-0.12677357462633537
31,32,2,7,0,390,399,-142.24931506849316,-0.2628166190852214
32,33,53,98,0,759,910,-588.7671232876712,-0.3928342930262316
33,34,1,2,0,42,45,-110.37534246575342,-0.7103787558188743
34,35,5,12,0,1030,1047,-394.6438356164383,-0.27374572405929304
35,36,17,38,0,2239,2294,-112.10410958904095,-0.04659154570339359
36,37,29,16,0,2467,2512,-519.2301369863012,-0.17129353876856357
37,38,0,5,0,135,140,-75.31780821917809,-0.3497983229631892
38,39,1,16,0,1471,1488,-592.7068493150687,-0.2848584121834256
39,40,33,28,0,423,484,-295.8712328767124,-0.37938472455937583
40,41,315,299,0,1259,1873,-777.4465753424656,-0.293326635056589
41,42,156,168,0,1617,1941,-968.4136986301369,-0.3328552756474966
42,43,822,25,0,554,1401,-827.1999999999998,-0.3712413607396104
43,44,0,0,0,27,27,-30.78082191780822,-0.5327169274537695
44,45,141,0,0,471,612,-233.0082191780822,-0.275746689665011
45,46,0,0,0,44,44,11.553424657534244,0.356075318753694
46,47,2,9,0,486,497,-246.69863013698625,-0.33171854853564187
47,48,2577,2,0,3358,5937,-2002.7479452054795,-0.252243265028944
48,49,21,55,0,1168,1244,-700.1287671232876,-0.36012468873615955
49,50,1114,0,0,1376,2490,-324.49589041095896,-0.11529449785893191
50,51,3,14,0,433,450,-263.85205479452054,-0.36961727997052457
51,52,28,31,0,215,274,-218.39999999999998,-0.4435418359057676
52,53,1,3,0,244,248,-88.9780821917808,-0.264047090579445
53,54,0,2,0,93,95,-108.68219178082191,-0.5335871085763477
54,55,1,19,0,357,377,-179.51780821917805,-0.3225733400942258
55,56,4,22,0,613,639,-220.94520547945206,-0.25692939977061297
56,57,0,4,0,39,43,-1.2821917808219183,-0.028955020726350318
57,58,0,0,0,38,38,-24.134246575342466,-0.3884210062172053
58,59,0,0,0,14,14,-25.268493150684932,-0.6434800809321147
59,60,1,3,0,343,347,-148.07397260273973,-0.2990946420072827
60,61,20,74,0,3247,3341,-683.8931506849317,-0.16991585244158616
61,62,10,18,0,785,813,-221.65479452054797,-0.21423067451522448
62,63,2,1,0,629,632,-157.91506849315067,-0.19991398416337458
63,64,1,0,0,105,106,-40.167123287671245,-0.2748027215984706
64,65,73,93,0,956,1122,-311.8712328767124,-0.21750295683875248
65,66,23,67,0,540,630,-399.88767123287676,-0.3882828024867721
66,67,0,1,0,248,249,-161.04931506849317,-0.39275596653927364
67,68,1544,0,0,2055,3599,-1944.6164383561645,-0.35078480987634797
68,69,7,13,0,829,849,-486.23013698630143,-0.36415455547142866
69,70,16,10,0,446,472,-180.73698630136983,-0.2768909838026602
70,71,3,14,0,777,794,-342.21369863013706,-0.30118779508003035
71,72,5,13,0,1096,1114,-404.66301369863004,-0.26646004416285407
72,73,1,4,0,204,209,-72.07123287671232,-0.2564162548371689
73,74,301,409,0,1175,1885,-1043.6246575342466,-0.3563531621743995
74,75,503,206,0,1010,1719,-1310.8465753424657,-0.43264453916921514
75,76,5,21,0,1634,1660,-728.2328767123286,-0.30492540481011343
76,77,2,12,0,507,521,-205.34246575342468,-0.2827075042905909
77,78,1,4,0,588,593,-289.3397260273972,-0.3279232675265638
78,79,2506,1,0,3284,5791,-2169.2602739726026,-0.27251122442131204
79,80,92,62,0,2677,2831,310.4575342465755,0.12317091993678254
80,81,3,7,0,471,481,-167.92328767123286,-0.25877217055016316
81,82,109,370,0,1563,2042,175.20547945205476,0.09385364994569842
82,83,18,43,0,485,546,-33.136986301369916,-0.05721787260212417
83,84,0,0,0,66,66,-26.257534246575347,-0.2846112727920651
84,85,2,11,0,581,594,-166.90684931506848,-0.21935253896756213
85,86,1,1,0,193,195,-72.4849315068493,-0.2709869714847591
86,87,435,0,0,1124,1559,-775.635616438356,-0.33222983962766767
87,88,178,0,0,308,486,-285.4630136986301,-0.37002812659810214
88,89,10,23,0,1585,1618,-436.10410958904095,-0.21230866904613277
89,90,1110,0,0,1224,2334,-1609.5534246575344,-0.4081479953063679
90,91,3,7,0,944,954,-400.8246575342466,-0.2958498395384532
91,92,6,48,0,1067,1121,-140.73972602739718,-0.11154418230970496
92,93,6,1,0,91,98,-40.12054794520549,-0.29047486809219664
93,94,2,5,0,301,308,-99.73424657534247,-0.24460600847987207
94,95,21,151,0,816,988,-507.89315068493147,-0.33952501918494654
95,96,0,0,0,27,27,-25.961643835616435,-0.49019709275257356
96,97,63,104,0,965,1132,-661.6191780821919,-0.3688738312831942
97,98,0,1,0,135,136,-101.06849315068493,-0.4263261296660118
98,99,0,0,0,9,9,-0.15890410958904155,-0.01734968591085856
99,100,1454,0,0,1241,2695,-1612.7013698630135,-0.3743763161359298
100,101,1,0,0,104,105,-71.45753424657534,-0.40495598304532116
101,102,1,3,0,302,306,-229.95342465753424,-0.42905486573664653
102,103,0,0,0,0,0,0.0,
103,104,0,0,0,0,0,0.0,
104,105,0,0,0,0,0,-0.1589041095890411,-1.0
105,106,10,21,0,406,437,-105.01643835616437,-0.19375139004023534
106,107,1378,0,0,1435,2813,-2560.024657534246,-0.47645875846567887
107,108,2,9,0,242,253,-106.98630136986299,-0.2971954792800334
108,109,0,0,0,79,79,-34.11506849315069,-0.30159614406471774
109,110,0,0,0,1,1,0.3178082191780822,0.4658634538152611
110,111,0,0,0,18,18,-2.682191780821917,-0.12968605113260032
111,112,44,60,0,1447,1551,-723.9452054794519,-0.3182253373557093
112,113,802,0,0,876,1678,-1555.7561643835616,-0.4810987858387676
113,114,1095,0,0,1357,2452,-708.7424657534248,-0.22423290522167935
114,115,0,0,0,78,78,-88.61369863013698,-0.5318512184694314
115,116,120,103,0,964,1187,-435.41643835616446,-0.26837526301035836
116,117,0,3,0,186,189,-49.27123287671233,-0.20678632616219575
117,118,0,0,0,79,79,-62.80000000000001,-0.4428772919605078
118,119,3,6,0,606,615,-289.82191780821915,-0.3203082419911585
119,120,0,0,0,114,114,-2.627397260273966,-0.022528130799407967
120,121,4,4,0,248,256,-250.43287671232878,-0.49450359214056955
121,122,0,5,0,173,178,-79.89041095890411,-0.30978434080526934
122,123,2,9,0,387,398,-273.6082191780822,-0.4073926008721654
123,124,1,0,0,183,184,-92.46849315068494,-0.33446304169020225
124,125,397,0,0,513,910,-582.3917808219178,-0.39024054427663235
125,126,1,2,0,276,279,-266.34520547945203,-0.48839744588070394
126,127,13,45,0,931,989,26.380821917808248,0.02740525279204001
127,128,1,0,0,34,35,-23.249315068493154,-0.39913456563661165
128,129,153,258,0,1529,1940,-421.2191780821918,-0.17839054586381542
129,130,5,98,0,810,913,-369.8027397260273,-0.2882771670763717
130,131,3,3,0,181,187,-165.83561643835617,-0.47000815312342276
131,132,2260,1,0,3413,5674,-59.287671232877074,-0.010340955248130423
132,133,4,5,0,401,410,-126.54520547945208,-0.23585189875356802
133,134,3,31,0,297,331,-209.6602739726028,-0.387785609680705
134,135,6,4,0,257,267,-211.3808219178082,-0.44186725770149304
135,136,4,13,0,451,468,-166.14794520547946,-0.2620018663809491
136,137,713,1,0,1142,1856,-1714.7808219178082,-0.48022572861160023
137,138,1977,0,0,2257,4234,-890.1589041095895,-0.17371805222427422
138,139,1,2,0,222,225,-122.26301369863012,-0.3520761177426608
139,140,737,0,0,945,1682,-2282.194520547945,-0.5757019512333346
140,141,1319,0,0,1104,2423,-2468.0575342465754,-0.5046061137014938
141,142,1342,0,0,1101,2443,-2151.0657534246575,-0.4682270278393687
142,143,598,0,0,733,1331,-1781.0849315068494,-0.572312443492492
143,144,662,0,0,1304,1966,-755.2684931506851,-0.27754280588323543
144,145,85,66,0,1316,1467,-321.304109589041,-0.1796697261199483
145,146,123,29,0,552,704,-122.61369863013704,-0.1483325268300444
146,147,0,5,0,297,302,-239.73424657534247,-0.44253108990406254
147,148,1446,0,0,2802,4248,-1166.6547945205475,-0.21546245121686497
148,149,1,2,0,336,339,-197.98630136986299,-0.36869897959183673
149,150,0,2,0,202,204,-124.61917808219181,-0.3792206492921815
150,151,628,0,0,703,1331,-804.495890410959,-0.3767255624435504
151,152,59,49,0,448,556,-293.4630136986301,-0.34546885381256165
152,153,0,2,0,106,108,-36.367123287671234,-0.25190723801571335
153,154,0,1,0,15,16,-7.627397260273973,-0.3228200371057514
154,155,1,8,0,393,402,-271.5643835616438,-0.4031750938576617
155,156,0,0,0,143,143,-79.23835616438356,-0.3565467164712699
156,157,5,4,0,419,428,-240.64931506849314,-0.3599036290702582
157,158,704,0,0,1053,1757,-1207.7506849315068,-0.40737006692332
158,159,8,10,0,520,538,-392.3972602739726,-0.42175238151327316
159,160,1,2,0,319,322,-187.65753424657532,-0.36820319849482597
160,161,1706,0,0,1676,3382,-2315.572602739726,-0.4064138825762858
161,162,1639,0,0,1417,3056,-2124.8164383561643,-0.41013158131314786
162,163,1671,1,0,1376,3048,-1081.0602739726028,-0.2618175086440445
163,164,1659,1,0,2353,4013,-1228.8328767123285,-0.23442809139749818
164,165,4,6,0,513,523,-240.3260273972603,-0.3148406038461815
165,166,285,138,0,634,1057,-948.5643835616438,-0.47296630880386215
166,167,3,9,0,614,626,-298.6602739726028,-0.3229945985345229
167,168,11,16,0,702,729,-464.18630136986303,-0.3890308670464487
168,169,1,15,0,808,824,-300.1534246575343,-0.26700396767369544
169,170,1719,0,0,1484,3203,-2933.032876712329,-0.47800149308910495
170,171,2,5,0,320,327,-153.47123287671235,-0.319418151130169
171,172,0,0,0,62,62,-22.45753424657535,-0.26590326661692676
172,173,5,30,0,517,552,-110.69315068493154,-0.16703530219155546
173,174,3,11,0,551,565,-279.8246575342466,-0.33122217141597027
174,175,1,5,0,118,124,-87.1917808219178,-0.4128559382499838
175,176,0,0,0,46,46,-11.19178082191781,-0.19568862275449103
176,177,0,8,0,788,796,-379.21369863013706,-0.32267637713222663
177,178,1,9,0,198,208,-90.8301369863014,-0.303952398852145
178,179,84,47,0,772,903,-193.99726027397264,-0.17684388767344986
179,180,3,3,0,243,249,-78.72602739726028,-0.2402190269185755
180,181,64,123,0,1808,1995,-711.9068493150685,-0.26299643428631575
181,182,0,11,0,335,346,-250.08219178082197,-0.41954313554258404
182,183,0,1,0,173,174,-58.22191780821919,-0.2507167211335402
183,184,0,1,0,59,60,13.526027397260272,0.29104521605848016
184,185,3,7,0,376,386,-222.21643835616442,-0.3653575016103677
185,186,2561,1,0,1482,4044,-1743.224657534247,-0.30121945503960784
186,187,0,0,0,68,68,-58.016438356164386,-0.46038785981389685
187,188,7,22,0,1471,1500,-471.7095890410958,-0.23923887760291462
188,189,17,14,0,703,734,-230.64657534246578,-0.23909956375533947
189,190,6,3,0,170,179,-4.0876712328767155,-0.02232630523590766
190,191,0,10,0,349,359,-217.3397260273972,-0.37710349679602967
191,192,1,6,0,229,236,-99.73698630136988,-0.2970688079383732
192,193,43,11,0,190,244,-155.71232876712327,-0.38956098564035774
193,194,2,0,0,7,9,-14.539726027397261,-0.6176675977653632
194,195,7,8,0,290,305,-125.0,-0.29069767441860467
195,196,19,59,0,401,479,-77.52602739726024,-0.1393035070791406
196,197,4,5,0,840,849,-85.56712328767128,-0.09155802847703286
197,198,5,9,0,1190,1204,-390.3479452054794,-0.2448323443946681
198,199,0,0,0,0,0,-0.23835616438356164,-1.0
199,200,0,2,0,193,195,-200.64931506849314,-0.5071392959033875
200,201,0,0,0,106,106,14.989041095890414,0.16469490351907046
201,202,1,1,0,114,116,-37.315068493150676,-0.24338813438170118
202,203,2,3,0,281,286,-87.03013698630139,-0.2333059138047534
203,204,0,0,0,25,25,-17.010958904109586,-0.40491717751402106
204,205,4,13,0,479,496,-324.64931506849314,-0.3956005435054768
205,206,0,0,0,278,278,-127.34520547945203,-0.31416482484065666
206,207,0,0,0,3,3,-1.235616438356164,-0.2917205692108667
207,208,1,5,0,471,477,-172.23835616438362,-0.2652929460020594
208,209,136,0,0,342,478,-231.17808219178085,-0.325980297469577
209,210,1,16,0,458,475,-284.12054794520543,-0.37427592852579944
210,211,385,0,0,648,1033,-842.7205479452055,-0.4492783047391468
211,212,1,8,0,379,388,-144.11780821917807,-0.27083816025908364
212,213,1,10,0,636,647,-383.46027397260264,-0.37212523729255176
213,214,0,0,0,82,82,-42.66301369863014,-0.34222671530921717
214,215,3,11,0,418,432,-258.57534246575347,-0.3744346584146632
215,216,12,5,0,1004,1021,-233.6739726027397,-0.18624278314947285
216,217,12,5,0,326,343,-18.821917808219155,-0.052019838715783834
217,218,6,2,0,288,296,-153.66027397260274,-0.34172525986132607
218,219,6,4,0,275,285,-140.61095890410957,-0.33037438525117796
219,220,3,9,0,490,502,-245.81643835616444,-0.3287122691452375
220,221,0,0,0,151,151,-122.46027397260275,-0.44781741857273105
221,222,1,5,0,177,183,-150.56712328767122,-0.45138478218016953
222,223,58,155,0,1156,1369,-275.07671232876714,-0.1673137939768834
223,224,197,0,0,525,722,-609.6493150684933,-0.45781521318706647
224,225,16,26,0,1876,1918,-534.5890410958905,-0.21796926926535562
225,226,164,70,0,916,1150,-615.9479452054795,-0.3487916769448207
226,227,0,4,0,359,363,-178.69863013698625,-0.32988569694517494
227,228,9,16,0,705,730,-206.93150684931504,-0.22086086905666996
228,229,1070,0,0,1033,2103,-2088.47397260274,-0.49826719341546577
229,230,2694,1,0,2568,5263,-619.2356164383564,-0.10527215446927274
230,231,742,0,0,1262,2004,-2530.8739726027397,-0.5580913577517068
231,232,180,0,0,964,1144,-530.7671232876712,-0.3169199561582882
232,233,794,0,0,1070,1864,-1436.1123287671235,-0.435170741386138
233,234,1512,1,0,1589,3102,-2461.3068493150686,-0.44241795679813967
234,235,4,15,0,782,801,-337.09863013698623,-0.29619456627973595
235,236,1386,9,0,780,2175,-4120.353424657535,-0.654507085895925
236,237,1437,0,0,771,2208,-3935.983561643836,-0.6406240384846921
237,238,1149,0,0,1124,2273,-2052.380821917808,-0.4744971382676575
238,239,1461,0,0,1112,2573,-2075.331506849315,-0.44646805069546236
239,240,0,0,0,153,153,-43.63013698630138,-0.2218893688170545
240,241,7,9,0,609,625,-258.4575342465754,-0.2925523007362108
241,242,3,11,0,493,507,-296.6465753424658,-0.369125663499596
242,243,35,62,0,1543,1640,25.01643835616437,0.015490212377580493
243,244,83,142,0,1473,1698,-579.0109589041094,-0.2542855389605936
244,245,0,0,0,126,126,-51.72328767123287,-0.2910326966655875
245,246,836,0,0,1398,2234,-1742.4328767123288,-0.4381899382526364
246,247,14,19,0,639,672,-364.20000000000005,-0.3514765489287783
247,248,0,13,0,381,394,-151.79999999999995,-0.2781238548919017
248,249,1618,0,0,1812,3430,-1443.364383561644,-0.2961741150385265
249,250,1,3,0,342,346,-152.35616438356163,-0.305717427157779
250,251,0,0,0,109,109,-15.167123287671231,-0.12215087928333443
251,252,2,2,0,164,168,-121.23287671232879,-0.41915316851378237
252,253,0,0,0,7,7,-9.50958904109589,-0.5760039827414537
253,254,5,15,0,670,690,-319.5150684931507,-0.3165035158614064
254,255,136,251,0,2381,2768,-375.2191780821918,-0.11937416922708156
255,256,85,89,0,1704,1878,-533.9972602739726,-0.2213921504261233
256,257,2,5,0,277,284,-125.69315068493148,-0.3067982720111276
257,258,1,1,0,529,531,-198.99452054794517,-0.2725972797694109
258,259,1,5,0,494,500,-185.23561643835615,-0.27032397615458736
259,260,122,163,0,879,1164,-84.27123287671225,-0.06751035404581453
260,261,389,0,0,651,1040,-259.9780821917809,-0.19998651189061148
261,262,696,0,0,715,1411,-1909.7205479452055,-0.575092218803808
262,263,1227,5,0,1063,2295,-1846.643835616438,-0.44587219686445717
