,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,3,0,0,29,32,0.09863013698630141,0.0030917210580556523
1,2,0,0,0,1,1,0.4904109589041096,0.9623655913978494
2,3,2,5,0,414,421,-25.734246575342468,-0.05760526929068185
3,4,511,0,0,1447,1958,243.8904109589041,0.142284024614401
4,5,0,0,0,59,59,5.602739726027394,0.10492560287326828
5,6,2,0,0,61,63,-26.956164383561642,-0.2996588901748188
6,7,400,518,0,3411,4329,949.2246575342465,0.2808543649654917
7,8,0,0,0,13,13,-6.156164383561645,-0.3213672768878719
8,9,0,0,0,161,161,-50.18356164383562,-0.23763005630367662
9,10,32,6,0,684,722,-42.64109589041095,-0.055766157638645036
10,11,1,2,0,229,232,-41.39999999999998,-0.1514264813460131
11,12,30,0,0,39,69,-0.8027397260273972,-0.011500117748645889
12,13,801,0,0,996,1797,-411.11506849315083,-0.1861837158575715
13,14,11,16,0,1293,1320,31.219178082191775,0.024223807144907045
14,15,2,0,0,165,167,-10.701369863013696,-0.060221088173170303
15,16,2,5,0,590,597,81.26301369863017,0.15756677503665464
16,17,41,88,0,2706,2835,524.7424657534248,0.22713591795494548
17,18,2,15,0,1003,1020,13.58082191780818,0.013494200243369236
18,19,2,1,0,150,153,-25.690410958904096,-0.1437705068841801
19,20,2,9,0,593,604,17.399999999999977,0.029662461643368526
20,21,2,8,0,707,717,54.48493150684931,0.08223953551844775
21,22,5,4,0,735,744,-16.18630136986303,-0.021292545446682163
22,23,0,0,0,197,197,-29.356164383561634,-0.12969014766400383
23,24,492,35,0,599,1126,238.91506849315067,0.26932603633263946
24,25,148,209,0,1704,2061,433.7890410958903,0.2665843901322036
25,26,11,14,0,893,918,-110.72602739726017,-0.10763412652968818
26,27,0,0,0,12,12,2.758904109589041,0.29854728728135194
27,28,14,6,0,469,489,-30.81095890410961,-0.05927339232913972
28,29,3,4,0,429,436,8.827397260273983,0.020664708372349593
29,30,0,0,0,19,19,11.005479452054795,1.3766278272789583
30,31,1,4,0,139,144,28.336986301369862,0.24499609162185848
31,32,5,18,0,558,581,39.75068493150684,0.07344246694608109
32,33,154,208,0,1376,1738,239.2328767123288,0.1596197788136368
33,34,1,0,0,79,80,-75.37534246575342,-0.4851177881224432
34,35,2,28,0,1467,1497,55.35616438356169,0.038397947548460695
35,36,53,159,0,3403,3615,1208.895890410959,0.5024287542642686
36,37,60,58,0,3915,4033,1001.7698630136988,0.33048294512196785
37,38,0,3,0,206,209,-6.31780821917809,-0.029341782137903866
38,39,9,35,0,2097,2141,60.293150684931334,0.028977244297907104
39,40,76,63,0,785,924,144.12876712328762,0.18481098038664612
40,41,810,615,0,2068,3493,842.5534246575344,0.3178911178576265
41,42,325,363,0,2481,3169,259.5863013698631,0.0892228910216812
42,43,1464,31,0,742,2237,8.800000000000182,0.003949376178081044
43,44,0,0,0,101,101,43.21917808219178,0.7479848269321954
44,45,293,0,0,784,1077,231.9917808219178,0.2745438157365739
45,46,0,0,0,51,51,18.553424657534244,0.5718145740099635
46,47,0,9,0,630,639,-104.69863013698625,-0.1407809909743967
47,48,4230,0,0,4670,8900,960.2520547945205,0.12094238525221462
48,49,52,102,0,2084,2238,293.8712328767124,0.15115831720938494
49,50,1516,1,0,1661,3178,363.50410958904104,0.1291542513270339
50,51,13,18,0,716,747,33.14794520547946,0.04643531524892922
51,52,78,71,0,351,500,7.600000000000023,0.015434606011372915
52,53,4,2,0,346,352,15.0219178082192,0.044578323048529704
53,54,2,2,0,161,165,-38.68219178082191,-0.18991445173786717
54,55,4,31,0,485,520,-36.51780821917805,-0.06561840012996661
55,56,8,15,0,917,940,80.05479452054794,0.09309290174589015
56,57,0,2,0,51,53,8.717808219178082,0.19686939305821938
57,58,0,1,0,50,51,-11.134246575342466,-0.1791966136073019
58,59,0,1,0,39,40,0.7315068493150676,0.018628340193957975
59,60,3,9,0,546,558,62.92602739726027,0.12710429325630043
