,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,2,0,0,32,34,2.0986301369863014,0.06578495362418413
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,2,2,0,420,424,-22.734246575342468,-0.05088986740914276
3,4,761,0,0,1866,2627,912.8904109589041,0.5325741229121713
4,5,0,0,0,91,91,37.602739726027394,0.7042072857875833
5,6,0,0,0,124,124,34.04383561643836,0.37844916854480115
6,7,699,936,0,4684,6319,2939.2246575342465,0.8696508967930104
7,8,0,1,0,30,31,11.843835616438355,0.6182780320366131
8,9,1,1,0,233,235,23.816438356164383,0.11277600477413663
9,10,11,3,0,716,730,-34.64109589041095,-0.04530373279253584
10,11,1,3,0,353,357,83.60000000000002,0.3057790782735919
11,12,58,0,0,32,90,20.197260273972603,0.28934767250176624
12,13,575,0,0,825,1400,-808.1150684931508,-0.36597507078497504
13,14,13,9,0,1993,2015,726.2191780821918,0.5634931601492331
14,15,0,0,0,187,187,9.298630136986304,0.05232728450070152
15,16,1,2,0,954,957,441.2630136986302,0.85559699113916
16,17,102,149,0,4074,4325,2014.7424657534248,0.8720856596667158
17,18,7,15,0,1453,1475,468.5808219178082,0.46559210329310746
18,19,0,0,0,208,208,29.309589041095904,0.1640244089417682
19,20,7,12,0,575,594,7.399999999999977,0.012615069894306132
20,21,2,4,0,836,842,179.4849315068493,0.2709144894093905
21,22,4,3,0,980,987,226.81369863013697,0.298365937693716
22,23,0,1,0,226,227,0.6438356164383663,0.0028443476155894905
23,24,400,35,0,535,970,82.91506849315067,0.09346914319952065
24,25,186,276,0,2143,2605,977.7890410958903,0.6008987560865553
25,26,6,7,0,1192,1205,176.27397260273983,0.17135171844414568
26,27,0,0,0,25,25,15.758904109589041,1.7053068485028164
27,28,10,7,0,599,616,96.18904109589039,0.1850461969841512
28,29,2,6,0,631,639,211.82739726027398,0.4958824510319527
29,30,0,0,0,17,17,9.005479452054795,1.126456477039068
30,31,2,3,0,138,143,27.336986301369862,0.23635028543004002
31,32,1,4,0,653,658,116.75068493150684,0.21570592642086292
32,33,112,200,0,1338,1650,151.2328767123288,0.10090485330408556
33,34,2,3,0,208,213,57.62465753424658,0.370873889123995
34,35,5,12,0,1336,1353,-88.64383561643831,-0.06148802736602049
35,36,204,265,0,5892,6361,3954.895890410959,1.6436927540456465
36,37,198,142,0,6219,6559,3527.769863013699,1.163807993318866
37,38,0,2,0,184,186,-29.31780821917809,-0.13616062907966564
38,39,0,5,0,1892,1897,-183.70684931506867,-0.08829059671502579
39,40,90,91,0,1016,1197,417.1287671232876,0.534868770046337
40,41,702,681,0,2453,3836,1185.5534246575344,0.44730327171538947
41,42,392,458,0,3050,3900,990.5863013698631,0.34047626222295885
42,43,1435,32,0,673,2140,-88.19999999999982,-0.039583520330311386
43,44,0,0,0,236,236,178.21917808219177,3.0844001896633473
44,45,297,0,0,749,1046,200.9917808219178,0.23785778204313487
45,46,0,0,0,42,42,9.553424657534244,0.29443553153761703
46,47,7,18,0,844,869,125.30136986301375,0.16848406704733845
47,48,5334,3,0,5907,11244,3304.2520547945205,0.4161658628961687
48,49,102,176,0,3268,3546,1601.8712328767124,0.8239532586347091
49,50,1593,0,0,2422,4015,1200.504109589041,0.426543209275658
50,51,2,3,0,564,569,-144.85205479452054,-0.20291607178495216
51,52,55,71,0,373,499,6.600000000000023,0.013403736799350169
52,53,3,0,0,441,444,107.0219178082192,0.3175931120271227
53,54,4,9,0,226,239,35.31780821917809,0.17339664263424087
54,55,1,32,0,673,706,149.48219178082195,0.2686027105927761
55,56,19,32,0,1251,1302,442.05479452054794,0.514049955396967
56,57,6,3,0,78,87,42.71780821917808,0.9646723999257564
57,58,0,0,0,96,96,33.865753424657534,0.5450416685039022
58,59,0,2,0,47,49,9.731506849315068,0.24781971673759853
59,60,4,2,0,610,616,120.92602739726027,0.24425850294960763
60,61,91,181,0,6311,6583,2558.1068493150683,0.6355713688647227
61,62,11,19,0,1438,1468,433.34520547945203,0.41883071317546183
62,63,3,4,0,1043,1050,260.08493150684933,0.3292568301083175
63,64,1,0,0,279,280,133.83287671232875,0.9156154523813985
64,65,224,186,0,1638,2048,614.1287671232876,0.4283011982123306
65,66,62,89,0,1001,1152,122.11232876712324,0.1185685897384739
66,67,2,0,0,532,534,123.95068493150683,0.3022823850121602
67,68,3063,0,0,4647,7710,2166.3835616438355,0.3907888624210495
68,69,14,27,0,1698,1739,403.76986301369857,0.30239720616629623
69,70,44,23,0,865,932,279.2630136986302,0.4278339048642388
70,71,2,14,0,1203,1219,82.78630136986294,0.07286155893884512
71,72,1,7,0,1548,1556,37.33698630136996,0.024585432031058386
72,73,0,2,0,296,298,16.928767123287685,0.06022945482547207
73,74,765,491,0,2153,3409,480.3753424657534,0.1640276234204096
74,75,1021,346,0,1829,3196,166.1534246575343,0.05483889052657851
75,76,10,6,0,2247,2263,-125.23287671232856,-0.05243746450920888
76,77,4,6,0,874,884,157.65753424657532,0.21705674895799934
77,78,8,13,0,1208,1229,346.6602739726028,0.3928875281785043
78,79,5300,3,0,6960,12263,4302.739726027397,0.5405275176863151
79,80,382,459,0,6972,7813,5292.457534246576,2.099729564629489
80,81,0,3,0,619,622,-26.923287671232856,-0.04148916857006545
81,82,141,548,0,2245,2934,1067.2054794520548,0.571678065103173
82,83,102,167,0,996,1265,685.8630136986301,1.1842845991910493
83,84,0,0,0,248,248,155.74246575342465,1.6881273385995128
84,85,7,17,0,1073,1097,336.0931506849315,0.44170078241175814
85,86,0,0,0,231,231,-36.48493150684931,-0.1363999508357915
86,87,903,3,0,2123,3029,694.364383561644,0.2974187400691435
87,88,407,0,0,410,817,45.53698630136989,0.05902679129495998
88,89,25,33,0,2659,2717,662.895890410959,0.3227177665028784
89,90,2052,1,0,2640,4693,749.4465753424656,0.1900434695917804
90,91,2,10,0,1319,1331,-23.824657534246626,-0.01758504866423602
91,92,5,61,0,1604,1670,408.2602739726028,0.3235693269784056
92,93,11,2,0,201,214,75.87945205479451,0.5493712064109175
93,94,6,9,0,671,686,278.26575342465753,0.6824684356584667
94,95,27,276,0,1673,1976,480.10684931506853,0.3209499616301069
95,96,0,0,0,61,61,8.038356164383565,0.15177693859603753
96,97,148,194,0,1740,2082,288.38082191780813,0.16078152232189905
97,98,2,0,0,191,193,-44.06849315068493,-0.185889286952502
98,99,0,0,0,9,9,-0.15890410958904155,-0.01734968591085856
99,100,1806,0,0,1801,3607,-700.7013698630135,-0.1626624758079031
100,101,1,0,0,192,193,16.542465753424665,0.09374757402145734
101,102,3,1,0,646,650,114.04657534246576,0.21279195186660058
102,103,0,0,0,0,0,0.0,
103,104,0,0,0,0,0,0.0,
104,105,0,0,0,0,0,-0.1589041095890411,-1.0
105,106,56,98,0,1376,1530,987.9835616438356,1.82279261610627
106,107,3368,0,0,3212,6580,1206.9753424657538,0.22463610710836587
107,108,1,5,0,425,431,71.01369863013701,0.1972677803569391
108,109,0,0,0,250,250,136.8849315068493,1.2101387846053238
