,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,1,0,0,17,18,-13.901369863013699,-0.4357609069048437
1,2,1,0,0,1,2,1.4904109589041097,2.924731182795699
2,3,2,5,0,423,430,-16.734246575342468,-0.03745906364606459
3,4,333,0,0,1489,1822,107.89041095890411,0.06294253975865101
4,5,0,0,0,51,51,-2.3972602739726057,-0.044894817855310465
5,6,0,0,0,66,66,-23.956164383561642,-0.2663093135164768
6,7,311,426,0,3573,4310,930.2246575342465,0.27523268953598273
7,8,0,0,0,12,12,-7.156164383561645,-0.3735697940503433
8,9,0,0,0,183,183,-28.183561643835617,-0.13345528138865104
9,10,24,4,0,710,738,-26.641095890410952,-0.03484130794642664
10,11,0,1,0,229,230,-43.39999999999998,-0.15874177029992678
11,12,39,0,0,58,97,27.197260273972603,0.3896302692519036
12,13,477,0,0,872,1349,-859.1150684931508,-0.3890716932063795
13,14,8,10,0,1189,1207,-81.78082191780823,-0.06345595816371
14,15,0,1,0,135,136,-41.701369863013696,-0.23467106581767164
15,16,1,2,0,588,591,75.26301369863017,0.1459329381016129
16,17,22,57,0,2938,3017,706.7424657534248,0.3059150139224235
17,18,2,6,0,941,949,-57.41917808219182,-0.05705294506768882
18,19,2,0,0,164,166,-12.690410958904096,-0.0710189813253196
19,20,1,1,0,531,533,-53.60000000000002,-0.09137401977497446
20,21,3,7,0,587,597,-65.5150684931507,-0.09888842021685731
21,22,5,6,0,759,770,9.813698630136969,0.012909596782331632
22,23,0,0,0,171,171,-55.356164383561634,-0.24455337690631804
23,24,269,18,0,493,780,-107.08493150684933,-0.12071553433440607
24,25,87,137,0,1652,1876,248.7890410958903,0.15289292376905092
25,26,4,6,0,461,471,-557.7260273972602,-0.5421521498861472
26,27,0,0,0,30,30,20.75890410958904,2.2463682182033797
27,28,12,10,0,448,470,-49.81095890410961,-0.09582514191144308
28,29,0,2,0,341,343,-84.17260273972602,-0.1970458830923947
29,30,0,0,0,17,17,9.005479452054795,1.126456477039068
30,31,0,2,0,129,131,15.336986301369862,0.13260061112821847
31,32,2,10,0,590,602,60.75068493150684,0.11224159225738523
32,33,67,117,0,1255,1439,-59.76712328767121,-0.03987752490631568
33,34,1,0,0,79,80,-75.37534246575342,-0.4851177881224432
34,35,3,29,0,1379,1411,-30.64383561643831,-0.021256176358798905
35,36,34,97,0,3845,3976,1569.895890410959,0.6524638248837433
36,37,37,58,0,4864,4959,1927.7698630136988,0.6359694829803716
37,38,1,4,0,209,214,-1.3178082191780902,-0.006120293672303482
38,39,8,28,0,2144,2180,99.29315068493133,0.04772087462374474
39,40,34,25,0,656,715,-64.87123287671238,-0.08318197946271431
40,41,449,426,0,2004,2879,228.55342465753438,0.0862320436049547
41,42,199,285,0,2640,3124,214.58630136986312,0.0737558572268009
42,43,749,27,0,607,1383,-845.1999999999998,-0.379319630194776
43,44,0,0,0,62,62,4.219178082191782,0.07302038880986252
44,45,192,0,0,826,1018,172.9917808219178,0.2047220096748674
45,46,0,0,0,53,53,20.553424657534244,0.6334543612260406
46,47,4,9,0,698,711,-32.69863013698625,-0.04396758150672309
47,48,3625,0,0,5220,8845,905.2520547945205,0.11401521320852116
48,49,25,99,0,2264,2388,443.8712328767124,0.2283137004003625
49,50,1258,0,0,1870,3128,313.50410958904104,0.11138908060130963
50,51,7,18,0,740,765,51.14794520547946,0.07165062405010825
51,52,35,42,0,322,399,-93.39999999999998,-0.18968318440292442
52,53,1,0,0,352,353,16.0219178082192,0.047545875102644845
53,54,0,1,0,155,156,-47.68219178082191,-0.23410093618852898
54,55,1,25,0,533,559,2.4821917808219496,0.004460219860285886
55,56,10,20,0,948,978,118.05479452054794,0.1372817637313623
56,57,1,2,0,52,55,10.717808219178082,0.24203427581513332
57,58,0,1,0,49,50,-12.134246575342466,-0.19529079765421756
58,59,0,0,0,34,34,-5.268493150684932,-0.1341659108351357
59,60,5,10,0,507,522,26.92602739726027,0.05438788723976491
60,61,28,94,0,4974,5096,1071.1068493150683,0.26612056748209423
61,62,7,10,0,1121,1138,103.34520547945203,0.09988375449160461
62,63,3,3,0,974,980,190.08493150684933,0.2406397081010964
63,64,0,0,0,101,101,-45.167123287671245,-0.30901014039099556
64,65,142,103,0,1320,1565,131.12876712328762,0.09145086679799676
65,66,36,88,0,758,882,-147.88767123287676,-0.14359592348148092
66,67,4,1,0,335,340,-70.04931506849317,-0.17083144025442984
67,68,2657,0,0,3854,6511,967.3835616438355,0.1745040574868292
68,69,3,25,0,1200,1228,-107.23013698630143,-0.08030835585266717
69,70,24,13,0,634,671,18.263013698630175,0.027979131077150436
70,71,5,21,0,1269,1295,158.78630136986294,0.13975038459869107
71,72,1,24,0,1688,1713,194.33698630136996,0.12796583873342096
72,73,1,0,0,277,278,-3.0712328767123154,-0.010926884424559613
73,74,422,404,0,1743,2569,-359.6246575342466,-0.12279643163184739
74,75,602,241,0,1512,2355,-674.8465753424657,-0.22273292015328774
75,76,14,44,0,2591,2649,260.76712328767144,0.10918831485422256
76,77,4,3,0,764,771,44.657534246575324,0.061482752767666835
77,78,4,11,0,792,807,-75.3397260273972,-0.08538630167611637
78,79,4975,0,0,7275,12250,4289.739726027397,0.5388944052562472
79,80,93,215,0,3974,4282,1761.4575342465755,0.6988406496535863
80,81,4,10,0,678,692,43.076712328767144,0.0663818253207632
81,82,74,404,0,1976,2454,587.2054794520548,0.31455281927852297
82,83,32,73,0,691,796,216.86301369863008,0.37445892565697647
83,84,0,0,0,125,125,32.74246575342465,0.3549028924392706
84,85,4,14,0,841,859,98.09315068493152,0.12891610947283524
85,86,0,3,0,249,252,-15.484931506849307,-0.05789085545722711
86,87,545,0,0,1755,2300,-34.63561643835601,-0.01483555557641795
87,88,242,0,0,427,669,-102.4630136986301,-0.1328164952554122
88,89,16,26,0,2171,2213,158.89589041095905,0.07735532472244015
89,90,1669,0,0,2135,3804,-139.55342465753438,-0.03538773528081554
90,91,3,17,0,1347,1367,12.175342465753374,0.008986655504124239
91,92,8,58,0,1291,1357,95.26027397260282,0.07549914773035715
92,93,11,8,0,143,162,23.879452054794513,0.17288848335779736
93,94,0,5,0,447,452,44.26575342465753,0.1085652083347332
94,95,23,160,0,1238,1421,-74.89315068493147,-0.050065842370252044
