,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,1,0,0,25,26,-5.901369863013699,-0.1849879766403298
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,1,7,0,397,405,-41.73424657534247,-0.09342074599222364
3,4,161,0,0,1403,1564,-150.1095890410959,-0.08757292415887477
4,5,1,0,0,61,62,8.602739726027394,0.1611082606464853
5,6,0,0,0,76,76,-13.956164383561642,-0.15514405798867026
6,7,168,260,0,2019,2447,-932.7753424657535,-0.27598738021008123
7,8,2,0,0,18,20,0.8438356164383549,0.04405034324942785
8,9,0,1,0,193,194,-17.183561643835617,-0.08136789393113827
9,10,15,13,0,661,689,-75.64109589041095,-0.09892366012884547
10,11,2,7,0,263,272,-1.3999999999999773,-0.005120702267739493
11,12,19,0,0,27,46,-23.802739726027397,-0.34100007849909725
12,13,896,0,0,1251,2147,-61.11506849315083,-0.027677483553815257
13,14,6,32,0,993,1031,-257.7808219178082,-0.2000191324496976
14,15,1,2,0,145,148,-29.701369863013696,-0.16714204221334852
15,16,1,5,0,352,358,-157.73698630136983,-0.3058477295425086
16,17,12,49,0,1696,1757,-553.2575342465752,-0.23947872739088563
17,18,3,23,0,923,949,-57.41917808219182,-0.05705294506768882
18,19,2,4,0,146,152,-26.690410958904096,-0.14936677808101553
19,20,1,7,0,515,523,-63.60000000000002,-0.10842141152403685
20,21,4,11,0,542,557,-105.5150684931507,-0.159264405461959
21,22,3,16,0,609,628,-132.18630136986303,-0.173886718468436
22,23,0,0,0,169,169,-57.356164383561634,-0.2533890099249576
23,24,327,32,0,420,779,-108.08493150684933,-0.12184282211090042
24,25,73,108,0,1130,1311,-316.2109589041097,-0.19432695998868563
25,26,3,14,0,379,396,-632.7260273972602,-0.6150578585030028
26,27,0,0,0,5,5,-4.241095890410959,-0.4589386302994367
27,28,10,9,0,455,474,-45.81095890410961,-0.08813003673622131
28,29,1,14,0,333,348,-79.17260273972602,-0.18534101258353747
29,30,0,0,0,3,3,-4.994520547945205,-0.6247429746401645
30,31,1,0,0,94,95,-20.663013698630138,-0.17864841177724614
31,32,5,11,0,496,512,-29.24931506849316,-0.05404037336248964
32,33,127,244,0,1031,1402,-96.76712328767121,-0.06456448222283154
33,34,1,2,0,154,157,1.6246575342465803,0.010456340809705209
34,35,9,41,0,1272,1322,-119.64383561643831,-0.08299125807677686
35,36,5,8,0,1430,1443,-963.104109589041,-0.40027532713600567
36,37,13,21,0,2127,2161,-870.2301369863012,-0.2870881119740708
37,38,5,5,0,178,188,-27.31780821917809,-0.12687203369342548
38,39,5,40,0,1780,1825,-255.70684931506867,-0.12289422193195682
39,40,90,63,0,546,699,-80.87123287671238,-0.10369818691529693
40,41,357,416,0,1482,2255,-395.4465753424656,-0.14919997973978016
41,42,163,240,0,2152,2555,-354.4136986301369,-0.12181619231290772
42,43,1313,68,0,743,2124,-104.19999999999982,-0.04676420429045859
43,44,0,0,0,43,43,-14.780821917808218,-0.2558084400189663
44,45,172,0,0,561,733,-112.00821917808219,-0.1325528162164265
45,46,0,0,0,26,26,-6.446575342465756,-0.19868276619099898
46,47,6,15,0,702,723,-20.698630136986253,-0.027832013262110822
47,48,3112,0,0,3375,6487,-1452.7479452054795,-0.1829715445920094
48,49,12,92,0,1553,1657,-287.1287671232876,-0.14769020035033473
49,50,926,0,0,1664,2590,-224.49589041095896,-0.0797641564074834
50,51,7,34,0,630,671,-42.85205479452054,-0.06002932191160441
51,52,96,73,0,309,478,-14.399999999999977,-0.029244516653127495
52,53,1,3,0,292,296,-40.9780821917808,-0.1216045919819182
53,54,6,6,0,187,199,-4.68219178082191,-0.02298773270203375
54,55,0,30,0,461,491,-65.51780821917805,-0.11772814319964156
55,56,5,27,0,677,709,-150.94520547945206,-0.1755288645342169
56,57,0,1,0,40,41,-3.2821917808219183,-0.07411990348326426
57,58,0,1,0,52,53,-9.134246575342466,-0.1470082455134706
58,59,0,2,0,37,39,-0.2684931506849324,-0.0068373683108909735
59,60,0,2,0,450,452,-43.07397260273973,-0.08700512445905415
60,61,13,81,0,3101,3195,-829.8931506849317,-0.20619010731842796
61,62,6,25,0,719,750,-284.65479452054797,-0.27512054844577905
62,63,0,4,0,635,639,-150.91506849315067,-0.19105227196265245
63,64,2,2,0,108,112,-34.167123287671245,-0.2337538190474406
64,65,108,114,0,1000,1222,-211.87123287671238,-0.14776168739479104
65,66,50,129,0,897,1076,46.112328767123245,0.04477413416544957
66,67,0,4,0,346,350,-60.04931506849317,-0.1464441296736778
67,68,2069,0,0,2513,4582,-961.6164383561645,-0.17346373960917655
68,69,7,27,0,1210,1244,-91.23013698630143,-0.06832540283446088
