,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,1,0,0,27,28,-3.9013698630136986,-0.12229474407420131
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,2,3,0,294,299,-147.73424657534247,-0.33069827913993793
3,4,244,0,0,989,1233,-481.1095890410959,-0.28067609685926637
4,5,0,0,0,42,42,-11.397260273972606,-0.21344279117496157
5,6,0,0,0,54,54,-35.95616438356164,-0.3997076201498447
6,7,273,455,0,2222,2950,-429.7753424657535,-0.12716092015518582
7,8,2,0,0,9,11,-8.156164383561645,-0.42577231121281467
8,9,0,0,0,151,151,-60.18356164383562,-0.28498222671959733
9,10,10,4,0,405,419,-345.64109589041095,-0.45203049868503087
10,11,0,3,0,216,219,-54.39999999999998,-0.19897585954645203
11,12,38,0,0,26,64,-5.802739726027397,-0.08313054399874402
12,13,572,1,0,753,1326,-882.1150684931508,-0.39948781704348346
13,14,4,19,0,850,873,-415.7808219178082,-0.3226156184564365
14,15,0,1,0,128,129,-48.701369863013696,-0.27406299625352676
15,16,0,2,0,307,309,-206.73698630136983,-0.40085739784534963
16,17,27,53,0,1803,1883,-427.25753424657523,-0.18493935325955474
17,18,1,8,0,642,651,-355.4191780821918,-0.35315223102114374
18,19,1,2,0,112,115,-63.690410958904096,-0.3564288123639262
19,20,0,11,0,382,393,-193.60000000000002,-0.33003750426184797
20,21,0,4,0,448,452,-210.5150684931507,-0.3177513667303509
21,22,2,6,0,526,534,-226.18630136986303,-0.29754061729640896
22,23,0,0,0,145,145,-81.35616438356163,-0.35941660614863224
23,24,400,39,0,416,855,-32.08493150684933,-0.03616895109732973
24,25,89,212,0,1055,1356,-271.2109589041097,-0.16667227898143228
25,26,9,14,0,1023,1046,17.273972602739832,0.016791616176411946
26,27,0,0,0,6,6,-3.241095890410959,-0.35072635635932403
27,28,4,5,0,359,368,-151.8109589041096,-0.292050323879598
28,29,0,7,0,324,331,-96.17260273972602,-0.22513757231365203
29,30,0,0,0,6,6,-1.9945205479452053,-0.24948594928032897
30,31,0,1,0,62,63,-52.66301369863014,-0.4553142099154369
31,32,1,11,0,370,382,-159.24931506849316,-0.29422543481342
32,33,76,220,0,1001,1297,-201.7671232876712,-0.1346220637967279
33,34,0,1,0,75,76,-79.37534246575342,-0.510861898716321
34,35,1,21,0,920,942,-499.6438356164383,-0.3465792474344356
35,36,18,62,0,2068,2148,-258.10410958904095,-0.10727054933343044
36,37,26,33,0,2425,2484,-547.2301369863012,-0.1805307126994872
37,38,1,0,0,136,137,-78.31780821917809,-0.36373121604254943
38,39,0,29,0,1370,1399,-681.7068493150687,-0.3276323377987987
39,40,58,40,0,452,550,-229.87123287671238,-0.29475536881747255
40,41,396,459,0,1384,2239,-411.4465753424656,-0.15523669828708106
41,42,179,299,0,1664,2142,-767.4136986301369,-0.263769191363698
42,43,1140,52,0,560,1752,-476.1999999999998,-0.2137151063638811
43,44,0,0,0,42,42,-15.780821917808218,-0.2731152204836415
44,45,162,0,0,480,642,-203.0082191780822,-0.24024407641329582
45,46,0,0,0,18,18,-14.446575342465756,-0.44524191505530697
46,47,0,7,0,473,480,-263.69863013698625,-0.3545772702155093
47,48,3407,0,0,3460,6867,-1072.7479452054795,-0.13511108319921822
48,49,32,68,0,1419,1519,-425.1287671232876,-0.2186731528860341
49,50,1052,0,0,1144,2196,-618.495890410959,-0.21975370172619055
50,51,0,12,0,502,514,-199.85205479452054,-0.2799628486774436
51,52,40,65,0,259,364,-128.39999999999998,-0.2607636068237205
52,53,1,1,0,262,264,-72.9780821917808,-0.21656625771360272
53,54,4,5,0,132,141,-62.68219178082191,-0.30774507693963193
54,55,2,29,0,386,417,-139.51780821917805,-0.2506978324119155
55,56,7,14,0,616,637,-222.94520547945206,-0.25925512934879574
56,57,0,3,0,30,33,-11.282191780821918,-0.25477943451092
57,58,0,0,0,52,52,-10.134246575342466,-0.16310242956038626
58,59,0,1,0,21,22,-17.268493150684932,-0.4397544128933231
59,60,0,5,0,304,309,-186.07397260273973,-0.3758508483580702
60,61,20,75,0,2818,2913,-1111.8931506849317,-0.2762540790668484
61,62,2,18,0,800,820,-214.65479452054797,-0.20746513296738509
62,63,1,4,0,785,790,0.08493150684932971,0.00010751979578177416
63,64,0,0,0,107,107,-39.167123287671245,-0.26796123783996556
64,65,103,140,0,941,1184,-249.87123287671238,-0.17426336978349638
65,66,24,106,0,564,694,-335.88767123287676,-0.32614010305685687
66,67,2,5,0,261,268,-142.04931506849317,-0.3464200764358447
67,68,2301,0,0,2274,4575,-968.6164383561645,-0.17472645323264574
68,69,4,20,0,904,928,-407.23013698630143,-0.3049887249440351
69,70,20,11,0,460,491,-161.73698630136983,-0.2477827818794622
70,71,2,14,0,739,755,-381.21369863013706,-0.33551232403705655
71,72,0,21,0,1063,1084,-434.66301369863004,-0.28621426200406985
72,73,0,2,0,221,223,-58.071232876712315,-0.20660681736214673
73,74,404,499,0,1253,2156,-772.6246575342466,-0.26381825869920705
74,75,595,316,0,1070,1981,-1048.8465753424657,-0.34617151372554694
75,76,7,28,0,1790,1825,-563.2328767123286,-0.23583666492678135
76,77,1,11,0,511,523,-203.34246575342468,-0.2799539822341248
77,78,1,17,0,539,557,-325.3397260273972,-0.3687238786042092
78,79,2917,0,0,3825,6742,-1218.2602739726026,-0.15304276896019436
79,80,50,56,0,1744,1850,-670.5424657534245,-0.266031013110898
80,81,0,5,0,504,509,-139.92328767123286,-0.2156237729938317
81,82,44,323,0,1157,1524,-342.79452054794524,-0.18362734450673635
82,83,15,47,0,386,448,-131.13698630136992,-0.22643517751969164
83,84,0,0,0,86,86,-6.2575342465753465,-0.06782681000178183
84,85,1,6,0,560,567,-193.90684931506848,-0.2548365144690366
85,86,0,1,0,178,179,-88.4849315068493,-0.33080342510652244
86,87,525,0,0,1153,1678,-656.635616438356,-0.2812582879379258
87,88,236,0,0,261,497,-274.4630136986301,-0.355769503949088
88,89,13,18,0,1470,1501,-553.104109589041,-0.26926780731659167
89,90,1559,0,0,1429,2988,-955.5534246575344,-0.2423077163562242
90,91,2,22,0,961,985,-369.8246575342466,-0.27296864983792074
91,92,5,49,0,966,1020,-241.73972602739718,-0.19159238711498577
92,93,8,5,0,79,92,-46.12054794520549,-0.3339151822906336
93,94,0,4,0,252,256,-151.73424657534247,-0.3721400589962573
94,95,21,162,0,1014,1197,-298.89315068493147,-0.19980915785868522
95,96,0,0,0,30,30,-22.961643835616435,-0.4335523252806373
96,97,68,154,0,1133,1355,-438.61917808219187,-0.24454420617378808
97,98,1,1,0,213,215,-22.06849315068493,-0.09308910204553333
98,99,0,0,0,9,9,-0.15890410958904155,-0.01734968591085856
99,100,2334,1,0,1410,3745,-562.7013698630135,-0.13062682891616223
100,101,1,1,0,119,121,-55.457534246575335,-0.3142826090331796
101,102,0,1,0,436,437,-98.95342465753424,-0.18463064159122394
102,103,0,0,0,0,0,0.0,
103,104,0,0,0,0,0,0.0,
104,105,1,0,0,0,1,0.8410958904109589,5.293103448275861
105,106,20,31,0,453,504,-38.01643835616437,-0.07013890292969932
106,107,1850,0,0,1831,3681,-1692.0246575342462,-0.3149110166769157
107,108,1,9,0,263,273,-86.98630136986299,-0.2416378096579017
108,109,0,0,0,82,82,-31.115068493150687,-0.27507447864945384
109,110,0,0,0,0,0,-0.6821917808219178,-1.0
110,111,0,0,0,16,16,-4.682191780821917,-0.22638760100675584
111,112,54,115,0,1543,1712,-562.9452054794519,-0.24745440203286542
112,113,1252,0,0,1181,2433,-800.7561643835616,-0.24762416325728337
113,114,1366,0,0,1487,2853,-307.74246575342477,-0.09736397985214158
114,115,0,0,0,67,67,-99.61369863013698,-0.5978722004801525
