,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,0,0,0,28,28,-3.9013698630136986,-0.12229474407420131
1,2,0,0,0,1,1,0.4904109589041096,0.9623655913978494
2,3,2,8,0,445,455,8.265753424657532,0.01850261870009444
3,4,581,0,0,1646,2227,512.8904109589041,0.2992168145129066
4,5,0,0,0,83,83,29.602739726027394,0.5543868650590046
5,6,0,0,0,84,84,-5.956164383561642,-0.06621185356642503
6,7,539,720,0,3830,5089,1709.2246575342465,0.5057213821458506
7,8,2,0,0,18,20,0.8438356164383549,0.04405034324942785
8,9,1,1,0,221,223,11.816438356164383,0.05595340027503178
9,10,15,5,0,696,716,-48.64109589041095,-0.06361297627322693
10,11,1,4,0,248,253,-20.399999999999977,-0.07461594732991945
11,12,28,0,0,29,57,-12.802739726027397,-0.18341314074888138
12,13,799,0,0,975,1774,-434.11506849315083,-0.19659983969467548
13,14,5,13,0,1485,1503,214.21917808219177,0.16621847131726916
14,15,2,1,0,209,212,34.298630136986304,0.1930127503430413
15,16,0,2,0,587,589,73.26301369863017,0.14205499245659897
16,17,63,72,0,2761,2896,585.7424657534248,0.25353990066932
17,18,2,17,0,977,996,-10.41917808219182,-0.010352722115298274
18,19,2,1,0,150,153,-25.690410958904096,-0.1437705068841801
19,20,1,12,0,585,598,11.399999999999977,0.01943402659393109
20,21,2,5,0,669,676,13.484931506849307,0.020354150642218516
21,22,5,12,0,701,718,-42.18630136986303,-0.05549468767569596
22,23,0,0,0,204,204,-22.356164383561634,-0.09876543209876538
23,24,435,33,0,478,946,58.91506849315067,0.06641423656365622
24,25,167,231,0,1623,2021,393.7890410958903,0.2420024514590895
25,26,3,5,0,404,412,-616.7260273972602,-0.5995046406647402
26,27,0,0,0,9,9,-0.2410958904109588,-0.026089534538986055
27,28,5,11,0,511,527,7.1890410958903885,0.013830106835467012
28,29,2,8,0,349,359,-68.17260273972602,-0.1595902974640516
29,30,0,0,0,9,9,1.0054794520547947,0.12577107607950655
30,31,1,3,0,96,100,-15.663013698630138,-0.13541938081815383
31,32,1,12,0,529,542,0.7506849315068393,0.001386948510801982
32,33,142,159,0,1314,1615,116.23287671232879,0.07755232611278678
33,34,3,0,0,119,122,-33.37534246575342,-0.21480462688672589
34,35,9,28,0,1531,1568,126.35616438356169,0.0876472824021285
35,36,54,130,0,3501,3685,1278.895890410959,0.5315214272375739
36,37,90,58,0,4089,4237,1205.7698630136988,0.3977823551901259
37,38,1,4,0,203,208,-7.31780821917809,-0.033986079831023946
38,39,4,32,0,2299,2335,254.29315068493133,0.12221479002130457
39,40,72,71,0,664,807,27.128767123287616,0.03478621338963573
40,41,733,714,0,1959,3406,755.5534246575344,0.2850664607566779
41,42,305,423,0,2537,3265,355.5863013698631,0.1222192297840925
42,43,919,54,0,572,1545,-683.1999999999998,-0.30661520509828555
43,44,0,0,0,76,76,18.21917808219178,0.3153153153153153
44,45,312,0,0,790,1102,256.9917808219178,0.3041293267796698
45,46,0,0,0,42,42,9.553424657534244,0.29443553153761703
46,47,3,8,0,655,666,-77.69863013698625,-0.1044759624240191
47,48,4774,0,0,4540,9314,1374.2520547945205,0.1730850984538345
48,49,62,137,0,2344,2543,598.8712328767124,0.30804092969770597
49,50,1340,0,0,1277,2617,-197.49589041095896,-0.0701709642155923
50,51,3,16,0,756,775,61.14794520547946,0.08565912893965213
51,52,81,99,0,385,565,72.60000000000002,0.14744110479285139
52,53,1,0,0,330,331,-5.9780821917808,-0.017740270087888258
53,54,7,8,0,201,216,12.31780821917809,0.06047562681588296
54,55,1,26,0,493,520,-36.51780821917805,-0.06561840012996661
55,56,13,8,0,897,918,58.054794520547944,0.06750987638587995
56,57,0,0,0,50,50,5.717808219178082,0.12912206892284847
57,58,0,0,0,54,54,-8.134246575342466,-0.13091406146655496
58,59,0,1,0,34,35,-4.268493150684932,-0.10870020233028677
59,60,0,8,0,493,501,5.92602739726027,0.011969983730119194
60,61,39,152,0,4836,5027,1002.1068493150683,0.2489772552457786
61,62,16,24,0,1120,1160,125.34520547945203,0.12114688507052843
62,63,1,10,0,929,940,150.08493150684933,0.19000135266839857
63,64,0,0,0,149,149,2.832876712328755,0.0193810800172442
64,65,175,154,0,1320,1649,215.12876712328762,0.15003353313092438
65,66,61,98,0,877,1036,6.112328767123245,0.005934947021752563
66,67,0,4,0,467,471,60.95068493150683,0.14864232835342217
67,68,3534,0,0,3236,6770,1226.3835616438355,0.2212244615551887
68,69,13,30,0,1181,1224,-111.23013698630143,-0.08330409410721874
69,70,20,11,0,632,663,10.263013698630175,0.01572304605685654
70,71,5,23,0,1193,1221,84.78630136986294,0.0746217911930516
