,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,1,0,0,13,14,-17.9013698630137,-0.5611473720371006
1,2,0,0,0,1,1,0.4904109589041096,0.9623655913978494
2,3,0,7,0,335,342,-104.73424657534247,-0.2344441855045444
3,4,613,0,0,1575,2188,473.8904109589041,0.27646447694397824
4,5,0,0,0,40,40,-13.397260273972606,-0.25089789635710624
5,6,0,0,0,63,63,-26.956164383561642,-0.2996588901748188
6,7,362,662,0,3365,4389,1009.2246575342465,0.2986070242165727
7,8,0,0,0,15,15,-4.156164383561645,-0.21696224256292912
8,9,4,0,0,138,142,-69.18356164383562,-0.32759918009392597
9,10,16,3,0,518,537,-227.64109589041095,-0.2977097322049202
10,11,1,2,0,198,201,-72.39999999999998,-0.2648134601316751
11,12,30,0,0,17,47,-22.802739726027397,-0.32667399324907764
12,13,568,0,0,876,1444,-764.1150684931508,-0.34604857300964564
13,14,9,8,0,1163,1180,-108.78082191780823,-0.0844059905825831
14,15,0,0,0,93,93,-84.7013698630137,-0.47665006706649604
15,16,1,2,0,549,552,36.263013698630175,0.07031299802384147
16,17,30,97,0,2695,2822,511.74246575342477,0.2215088396715542
17,18,2,14,0,901,917,-89.41917808219182,-0.08884884154591216
18,19,1,1,0,126,128,-50.690410958904096,-0.2836772868050657
19,20,1,1,0,504,506,-80.60000000000002,-0.13740197749744293
20,21,0,6,0,551,557,-105.5150684931507,-0.159264405461959
21,22,2,3,0,628,633,-127.18630136986303,-0.16730938342439491
22,23,0,1,0,159,160,-66.35616438356163,-0.2931493585088356
23,24,388,23,0,469,880,-7.08493150684933,-0.007986756684970954
24,25,136,248,0,1697,2081,453.7890410958903,0.27887535946876063
25,26,3,8,0,797,808,-220.72602739726017,-0.21456249916774298
26,27,0,0,0,4,4,-5.241095890410959,-0.5671509042395494
27,28,5,4,0,399,408,-111.81095890410961,-0.21509927212738036
28,29,2,3,0,406,411,-16.172602739726017,-0.037859644171936505
29,30,0,0,0,10,10,2.0054794520547947,0.2508567511994517
30,31,1,1,0,84,86,-29.663013698630138,-0.2564606675036123
31,32,3,7,0,395,405,-136.24931506849316,-0.2517311547105631
32,33,107,162,0,1200,1469,-29.76712328767121,-0.01986107302805958
33,34,2,1,0,62,65,-90.37534246575342,-0.5816582028494851
34,35,2,34,0,1185,1221,-220.6438356164383,-0.15305017103762825
35,36,36,141,0,3466,3643,1236.895890410959,0.5140658234535908
36,37,60,90,0,4021,4171,1139.7698630136988,0.376009016638663
37,38,0,3,0,173,176,-39.31780821917809,-0.18260360601086642
38,39,4,24,0,1653,1681,-399.70684931506867,-0.19210147236581884
39,40,60,74,0,745,879,99.12876712328762,0.1271091469262575
40,41,523,604,0,1740,2867,216.55342465753438,0.08170450469447904
41,42,234,360,0,2237,2831,-78.41369863013688,-0.02695171837097524
42,43,1524,76,0,817,2417,188.80000000000018,0.0847320707297371
43,44,0,0,0,80,80,22.21917808219178,0.38454243717401615
44,45,272,0,0,815,1087,241.9917808219178,0.28637802015381225
45,46,1,0,0,26,27,-5.446575342465756,-0.16786287258296048
46,47,0,6,0,494,500,-243.69863013698625,-0.3276846564744888
47,48,4058,1,0,4606,8665,725.2520547945205,0.09134446833825165
48,49,47,138,0,2402,2587,642.8712328767124,0.33067317543372604
49,50,1095,0,0,1446,2541,-273.49589041095896,-0.09717402371869316
50,51,0,12,0,546,558,-155.85205479452054,-0.21832542716345046
51,52,55,89,0,397,541,48.60000000000002,0.0987002437043055
52,53,1,0,0,263,264,-72.9780821917808,-0.21656625771360272
53,54,3,3,0,177,183,-20.68219178082191,-0.1015414828365436
54,55,2,19,0,369,390,-166.51780821917805,-0.29921380009747495
55,56,5,16,0,811,832,-27.945205479452056,-0.032496495475978084
56,57,1,0,0,30,31,-13.282191780821918,-0.29994431726783394
57,58,0,0,0,47,47,-15.134246575342466,-0.2435733497949645
58,59,0,0,0,22,22,-17.268493150684932,-0.4397544128933231
59,60,3,6,0,383,392,-103.07397260273973,-0.2081991344866133
60,61,43,179,0,5090,5312,1287.1068493150683,0.319786588395778
61,62,4,21,0,1069,1094,59.345205479452034,0.05735749333375698
62,63,1,3,0,677,681,-108.91506849315067,-0.13788199875831977
63,64,0,0,0,84,84,-62.167123287671245,-0.4253153642855805
64,65,123,174,0,1073,1370,-63.871232876712384,-0.044544608617728076
65,66,33,84,0,718,835,-194.88767123287676,-0.1892319683753249
66,67,7,5,0,321,333,-77.04931506849317,-0.1879025576609563
67,68,3292,1,0,3352,6645,1101.3835616438355,0.19867600399323915
68,69,7,28,0,942,977,-358.23013698630143,-0.26829093132577836
69,70,17,12,0,438,467,-185.73698630136983,-0.2845510369403439
70,71,4,21,0,1028,1053,-83.21369863013706,-0.07323771816029212
71,72,2,27,0,1384,1413,-105.66301369863004,-0.06957633967873682
72,73,1,2,0,235,238,-43.071232876712315,-0.15323956292462299
73,74,479,506,0,1542,2527,-401.6246575342466,-0.13713763438446025
74,75,878,364,0,1296,2538,-491.8465753424657,-0.16233382222889353
75,76,10,46,0,1973,2029,-359.23287671232856,-0.15041785925284348
76,77,5,12,0,688,705,-21.342465753424676,-0.029383475095713207
77,78,2,10,0,659,671,-211.3397260273972,-0.23952194352499886
78,79,6657,0,0,7288,13945,5984.739726027397,0.751827141330479
79,80,121,219,0,3107,3447,926.4575342465755,0.3675627555712079
80,81,0,8,0,533,541,-107.92328767123286,-0.1663113186437386
81,82,54,449,0,1476,1979,112.20547945205476,0.060105961431213106
82,83,22,57,0,485,564,-15.136986301369916,-0.026137143127468926
83,84,0,0,0,127,127,34.74246575342465,0.3765813387182989
84,85,7,8,0,808,823,62.093150684931516,0.08160414213753597
85,86,1,1,0,177,179,-88.4849315068493,-0.33080342510652244
86,87,603,0,0,1646,2249,-85.63561643835601,-0.03668050630059303
