,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,0,0,0,27,27,-4.901369863013699,-0.15364136035726556
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,1,5,0,369,375,-71.73424657534247,-0.16057476480761448
3,4,177,0,0,1106,1283,-431.1095890410959,-0.2515064333093583
4,5,0,1,0,113,114,60.602739726027394,1.1349409953822471
5,6,3,0,0,106,109,19.043835616438358,0.21170128525309134
6,7,272,265,0,3245,3782,402.2246575342465,0.11900928812647024
7,8,0,0,0,14,14,-5.156164383561645,-0.2691647597254005
8,9,2,0,0,207,209,-2.183561643835617,-0.01033963830725721
9,10,18,9,0,571,598,-166.64109589041095,-0.21793374275333757
10,11,1,3,0,217,221,-52.39999999999998,-0.19166057059253833
11,12,35,0,0,32,67,-2.802739726027397,-0.040152288248685136
12,13,381,0,0,648,1029,-1179.1150684931508,-0.5339916770269566
13,14,7,10,0,1656,1673,384.2191780821918,0.29812608284350717
14,15,0,1,0,178,179,1.2986301369863043,0.0073079354311527895
15,16,8,2,0,1603,1613,1097.2630136986302,2.127563162703725
16,17,31,39,0,2402,2472,161.74246575342477,0.070010578195635
17,18,2,5,0,970,977,-29.41917808219182,-0.029231535649243388
18,19,2,3,0,196,201,22.309589041095904,0.12485051056392024
19,20,0,7,0,535,542,-44.60000000000002,-0.07603136720081831
20,21,5,8,0,506,519,-143.5150684931507,-0.2166215914448056
21,22,2,8,0,645,655,-105.18630136986303,-0.138369109230614
22,23,2,0,0,288,290,63.643835616438366,0.28116678770273545
23,24,280,18,0,450,748,-139.08493150684933,-0.1567887431822253
24,25,52,72,0,1143,1267,-360.2109589041097,-0.22136709252911113
25,26,3,17,0,1070,1090,61.27397260273983,0.05956296523163386
26,27,0,0,0,15,15,5.758904109589041,0.6231841091016899
27,28,11,7,0,402,420,-99.81095890410961,-0.1920139566017151
28,29,2,8,0,305,315,-112.17260273972602,-0.2625931579419951
29,30,0,0,0,13,13,5.005479452054795,0.6261137765592872
30,31,0,0,0,97,97,-18.663013698630138,-0.16135679939360922
31,32,1,3,0,471,475,-66.24931506849316,-0.12240073700621598
32,33,48,77,0,830,955,-543.7671232876712,-0.36280961520884747
33,34,0,1,0,64,65,-90.37534246575342,-0.5816582028494851
34,35,10,25,0,1218,1253,-188.6438356164383,-0.1308532877232991
35,36,20,44,0,2332,2396,-10.104109589040945,-0.0041993650851486685
36,37,16,19,0,2733,2768,-263.2301369863012,-0.08683937711440443
37,38,1,4,0,190,195,-20.31780821917809,-0.09436194984158494
38,39,7,10,0,1411,1428,-652.7068493150687,-0.31369476653086814
39,40,22,16,0,523,561,-218.87123287671238,-0.280650476193822
40,41,392,309,0,1588,2289,-361.4465753424656,-0.13637195282676579
41,42,158,189,0,2167,2514,-395.4136986301369,-0.1359083786593542
42,43,709,33,0,338,1080,-1148.1999999999998,-0.5153038326900636
43,44,0,0,0,280,280,222.21917808219177,3.8458985301090562
44,45,136,0,0,591,727,-118.00821917808219,-0.13965333886676956
45,46,0,0,0,35,35,2.5534246575342436,0.07869627628134754
46,47,3,11,0,624,638,-105.69863013698625,-0.14212562166144774
47,48,2902,2,0,3589,6493,-1446.7479452054795,-0.18221585309633376
48,49,14,41,0,1478,1533,-411.1287671232876,-0.2114719837882095
49,50,718,0,0,1605,2323,-491.49589041095896,-0.17463016808285092
50,51,6,16,0,658,680,-33.85205479452054,-0.0474216675110149
51,52,41,27,0,222,290,-202.39999999999998,-0.4110479285134037
52,53,2,0,0,404,406,69.0219178082192,0.20482613397074734
53,54,4,3,0,146,153,-50.68219178082191,-0.24882976433874957
54,55,2,24,0,373,399,-157.51780821917805,-0.28304181086895513
55,56,6,18,0,644,668,-191.94520547945206,-0.22320632088696318
56,57,0,1,0,35,36,-8.282191780821918,-0.1870321103755491
57,58,0,0,0,57,57,-5.134246575342466,-0.08263150932580803
58,59,0,0,0,35,35,-4.268493150684932,-0.10870020233028677
59,60,2,7,0,418,427,-68.07397260273973,-0.1375026286372038
60,61,36,53,0,3473,3562,-462.8931506849317,-0.11500756252527086
61,62,7,17,0,862,886,-148.65479452054797,-0.14367574123061364
62,63,1,2,0,588,591,-198.91506849315067,-0.25181829848188986
63,64,0,0,0,161,161,14.832876712328755,0.10147888511930414
