,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,0,0,0,21,21,-10.901369863013699,-0.341721058055651
1,2,0,0,0,0,0,-0.5095890410958904,-1.0
2,3,3,11,0,397,411,-35.73424657534247,-0.07998994222914546
3,4,284,0,0,1247,1531,-183.1095890410959,-0.10682490210181411
4,5,0,0,0,40,40,-13.397260273972606,-0.25089789635710624
5,6,0,0,0,62,62,-27.956164383561642,-0.3107754157275994
6,7,270,414,0,1852,2536,-843.7753424657535,-0.24965426898764448
7,8,1,0,0,13,14,-5.156164383561645,-0.2691647597254005
8,9,0,1,0,189,190,-21.183561643835617,-0.10030876209750655
9,10,19,6,0,585,610,-154.64109589041095,-0.2022401054841738
10,11,0,9,0,252,261,-12.399999999999977,-0.04535479151426473
11,12,29,0,0,28,57,-12.802739726027397,-0.18341314074888138
12,13,1412,1,0,1320,2733,524.8849315068492,0.23770723681761663
13,14,7,26,0,1094,1127,-161.78082191780823,-0.12553012829370436
14,15,0,1,0,168,169,-8.701369863013696,-0.04896625090578312
15,16,2,2,0,392,396,-119.73698630136983,-0.23216676228724417
16,17,15,63,0,1709,1787,-523.2575342465752,-0.22649316212152112
17,18,2,17,0,716,735,-271.4191780821918,-0.26968800276580746
18,19,10,5,0,131,146,-32.690410958904096,-0.1829444052620281
19,20,0,9,0,472,481,-105.60000000000002,-0.1800204568700989
20,21,0,11,0,561,572,-90.5150684931507,-0.13662341099504588
21,22,4,11,0,675,690,-70.18630136986303,-0.0923277639223262
22,23,0,0,0,205,205,-21.356164383561634,-0.09434761558944561
23,24,411,49,0,408,868,-19.08493150684933,-0.02151421000290317
24,25,102,167,0,1023,1292,-335.2109589041097,-0.20600338085841483
25,26,3,19,0,1141,1163,134.27397260273983,0.1305245216187066
26,27,0,0,0,0,0,-9.241095890410959,-1.0
27,28,7,10,0,452,469,-50.81095890410961,-0.09774891820524852
28,29,0,13,0,364,377,-50.17260273972602,-0.1174527636321656
29,30,0,0,0,4,4,-3.9945205479452053,-0.4996572995202193
30,31,0,1,0,84,85,-30.663013698630138,-0.2651064736954308
31,32,0,15,0,481,496,-45.24931506849316,-0.08360161169491184
32,33,148,329,0,975,1452,-46.76712328767121,-0.0312037290924047
33,34,1,0,0,128,129,-26.37534246575342,-0.16975243334743967
34,35,1,46,0,1216,1263,-178.6438356164383,-0.12391676168757124
35,36,13,31,0,1530,1574,-832.104109589041,-0.34583046771453424
36,37,14,29,0,2003,2046,-985.2301369863012,-0.32502650490465007
37,38,0,1,0,166,167,-48.31780821917809,-0.22440228524894712
38,39,3,41,0,1825,1869,-211.70684931506867,-0.10174756207716563
39,40,101,86,0,552,739,-40.871232876712384,-0.05240766828384039
40,41,490,584,0,1374,2448,-202.44657534246562,-0.07638206226296314
41,42,249,438,0,1869,2556,-353.4136986301369,-0.12147248045079927
42,43,1871,127,0,655,2653,424.8000000000002,0.19064715914190836
43,44,0,0,0,36,36,-21.78082191780822,-0.37695590327169276
44,45,196,0,0,514,710,-135.0082191780822,-0.1597714863760748
45,46,0,0,0,20,20,-12.446575342465756,-0.38360212783923
46,47,5,12,0,597,614,-129.69863013698625,-0.17439675815067227
47,48,4133,3,0,3162,7298,-641.7479452054795,-0.08082724409318401
48,49,37,138,0,1443,1618,-326.1287671232876,-0.1677505999799889
49,50,1053,0,0,1339,2392,-422.49589041095896,-0.15011423248135145
50,51,0,10,0,535,545,-168.85205479452054,-0.23653648351985754
51,52,127,119,0,253,499,6.600000000000023,0.013403736799350169
52,53,0,1,0,265,266,-70.9780821917808,-0.21063115360537243
53,54,8,5,0,170,183,-20.68219178082191,-0.1015414828365436
54,55,1,34,0,467,502,-54.51780821917805,-0.09796237858700624
55,56,6,25,0,699,730,-129.94520547945206,-0.1511087039632981
56,57,1,1,0,30,32,-12.282191780821918,-0.277361875889377
57,58,0,0,0,46,46,-16.134246575342466,-0.2596675338418802
58,59,0,0,0,32,32,-7.268493150684932,-0.18509732784483363
59,60,3,3,0,399,405,-90.07397260273973,-0.1819404323139755
