,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
0,1,1,0,0,19,20,-11.901369863013699,-0.37306767433871524
1,2,0,0,0,1,1,0.4904109589041096,0.9623655913978494
2,3,1,6,0,435,442,-4.734246575342468,-0.010597456119908257
3,4,524,0,0,1849,2373,658.8904109589041,0.3843922320786382
4,5,0,0,0,63,63,9.602739726027394,0.17983581323755765
5,6,0,0,0,110,110,20.043835616438358,0.22281781080587199
6,7,373,516,0,4930,5819,2439.2246575342465,0.721712069700669
7,8,0,0,0,21,21,1.843835616438355,0.09625286041189925
8,9,1,0,0,217,218,6.816438356164383,0.032277315067071426
9,10,23,11,0,714,748,-16.641095890410952,-0.021763276888790147
10,11,1,3,0,255,259,-14.399999999999977,-0.052670080468178414
11,12,36,0,0,27,63,-6.802739726027397,-0.09745662924876364
12,13,689,0,0,1117,1806,-402.11506849315083,-0.18210784131261776
13,14,10,14,0,1404,1428,139.21917808219177,0.10802393682039944
14,15,3,2,0,165,170,-7.701369863013696,-0.04333883227208953
15,16,0,6,0,777,783,267.2630136986302,0.518215720022949
16,17,44,78,0,3690,3812,1501.7424657534248,0.6500324935605828
17,18,5,12,0,1244,1261,254.58082191780818,0.2529570455949888
18,19,3,1,0,205,209,30.309589041095904,0.16962068013860362
19,20,1,4,0,685,690,103.39999999999998,0.1762700306853051
20,21,5,13,0,758,776,113.4849315068493,0.17129411375497272
21,22,3,11,0,748,762,1.8136986301369689,0.0023858607118658498
22,23,1,0,0,287,288,61.643835616438366,0.2723311546840959
23,24,427,25,0,521,973,85.91506849315067,0.0968510065290037
24,25,146,127,0,1948,2221,593.7890410958903,0.36491214482465995
25,26,12,14,0,886,912,-116.72602739726017,-0.11346658321903662
26,27,0,0,0,12,12,2.758904109589041,0.29854728728135194
27,28,10,10,0,514,534,14.189041095890389,0.027296540892105096
28,29,4,4,0,458,466,38.82739726027398,0.09089393142549292
29,30,0,0,0,14,14,6.005479452054795,0.7511994516792324
30,31,1,0,0,151,152,36.33698630136986,0.3141625411564062
31,32,2,15,0,582,599,57.75068493150684,0.10669886007005606
32,33,128,134,0,1529,1791,292.2328767123288,0.19498217713188923
33,34,2,0,0,116,118,-37.37534246575342,-0.24054873748060374
34,35,13,41,0,1384,1438,-3.6438356164383094,-0.002527556062333681
35,36,51,115,0,4765,4931,2524.895890410959,1.049371006162409
36,37,55,56,0,5465,5576,2544.769863013699,0.8395172085296535
37,38,1,2,0,225,228,12.68219178082191,0.0588998740313776
38,39,9,51,0,1963,2023,-57.706849315068666,-0.02773425258539651
39,40,63,32,0,884,979,199.12876712328762,0.25533544350489884
40,41,585,454,0,2226,3265,614.5534246575344,0.23186787855858879
41,42,243,320,0,3041,3604,694.5863013698631,0.23873755103885738
42,43,1383,55,0,861,2299,70.80000000000018,0.03177452652365146
43,44,0,0,0,86,86,28.21917808219178,0.48838311996206735
44,45,317,0,0,952,1269,423.9917808219178,0.5017605405475508
45,46,0,0,0,43,43,10.553424657534244,0.32525542514565553
46,47,10,15,0,736,761,17.301369863013747,0.023263952845828027
47,48,4356,0,0,5820,10176,2236.2520547945205,0.28165277666590294
48,49,55,94,0,2551,2700,755.8712328767124,0.38879689743759577
49,50,1319,0,0,2207,3526,711.504109589041,0.2527998395780747
50,51,12,31,0,840,883,169.14794520547946,0.23695098174672624
51,52,87,55,0,430,572,79.60000000000002,0.16165718927701062
52,53,0,4,0,406,410,73.0219178082192,0.2166963421872079
53,54,8,6,0,223,237,33.31780821917809,0.16357742386742713
54,55,2,26,0,520,548,-8.51780821917805,-0.015305544752349435
