p_id,p_hour,ycount
1,00,0
2,00,0
3,08,1
4,09,29
5,00,0
6,00,0
7,07,32
8,00,1
9,08,1
10,08,8
11,05,1
12,12,8
13,09,158
14,09,4
15,09,2
16,07,1
17,00,6
18,06,2
19,08,3
20,00,1
21,09,1
22,12,2
23,00,0
24,07,52
25,06,15
26,07,2
27,00,0
28,06,10
29,00,0
30,00,0
31,00,0
32,11,2
33,08,28
34,09,1
35,09,4
36,00,1
37,01,4
38,05,2
39,09,3
40,07,19
41,07,59
42,07,28
43,12,279
44,00,0
45,00,15
46,00,0
47,08,1
48,08,426
49,00,3
50,08,141
51,09,3
52,08,30
53,07,1
54,07,1
55,08,2
56,04,2
57,00,0
58,00,0
59,00,0
60,00,0
61,07,7
62,10,2
63,05,1
64,08,1
65,08,18
66,08,9
67,07,1
68,09,338
69,05,2
70,06,5
71,03,2
72,06,3
73,07,1
74,07,52
75,07,118
76,08,7
77,04,1
78,04,1
79,00,226
80,00,13
81,08,2
82,02,9
83,06,7
84,00,0
85,07,3
86,10,3
87,12,83
88,12,44
89,07,5
90,09,225
91,06,5
92,06,2
93,11,4
94,00,1
95,06,11
96,00,0
97,07,9
98,07,1
99,00,0
100,07,398
101,09,1
102,00,0
103,00,0
104,00,0
105,00,0
106,10,4
107,09,296
108,05,1
109,00,0
110,00,0
111,00,1
112,00,6
113,09,205
114,00,105
115,00,0
116,07,15
117,07,1
118,09,1
119,07,2
120,00,0
121,05,1
122,06,1
123,12,2
124,09,2
125,09,62
126,05,1
127,09,2
128,00,0
129,04,17
130,06,8
131,09,2
132,06,309
133,07,3
134,06,12
135,05,2
136,09,1
137,08,173
138,11,670
139,05,1
140,08,361
141,09,422
142,12,400
143,08,243
144,12,94
145,00,11
146,10,18
147,06,1
148,00,119
149,06,1
150,00,0
151,09,152
152,06,13
153,04,1
154,00,1
155,07,3
156,00,0
157,00,2
158,09,122
159,06,2
160,05,1
161,12,671
162,09,480
163,12,410
164,12,299
165,07,2
166,08,77
167,07,1
168,09,3
169,04,1
170,09,474
171,00,0
172,00,0
173,07,3
174,00,1
175,12,1
176,00,0
177,06,3
178,00,1
179,07,13
180,05,3
181,08,9
182,09,3
183,00,0
184,00,0
185,06,2
186,09,600
187,10,1
188,10,4
189,09,3
190,06,1
191,08,3
192,07,1
193,06,18
194,11,2
195,07,2
196,00,1
197,06,3
198,06,2
199,00,0
200,07,1
201,00,0
202,11,2
203,12,3
204,00,0
205,06,4
206,10,1
207,11,1
208,08,1
209,09,26
210,07,3
211,12,88
212,00,1
213,07,3
214,00,0
215,06,4
216,08,7
217,02,1
218,10,3
219,10,2
220,10,2
221,00,0
222,05,2
223,07,12
224,07,47
225,06,3
226,08,30
227,07,2
228,09,3
229,08,333
230,11,386
231,08,193
232,09,12
233,09,208
234,11,344
235,07,3
236,08,783
237,12,822
238,08,357
239,12,423
240,00,0
241,09,1
242,10,3
243,00,3
244,07,14
245,00,0
246,12,282
247,11,3
248,00,0
249,09,187
250,07,2
251,00,0
252,07,1
253,00,0
254,05,3
255,00,19
256,02,9
257,08,4
258,06,5
259,12,2
260,04,13
261,11,82
262,07,281
263,09,292
