key,host,payload,labels,pos,tag,dep
clueweb12-0000tw-00-00000,tsawer.net,annecy. france.,annecy,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00000,tsawer.net,annecy. france.,france,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00000,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,xtWP Cumulus Flash,"[ADV, PROPN, PROPN]","[RB, NNP, NNP]","[compound, compound, compound]"
clueweb12-0000tw-00-00000,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,Roy Tanck,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00000,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,Luke Morton,"[PROPN, PROPN]","[NNP, NNP]","[compound, conj]"
clueweb12-0000tw-00-00001,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,xtWP Cumulus Flash,"[ADV, PROPN, PROPN]","[RB, NNP, NNP]","[compound, compound, compound]"
clueweb12-0000tw-00-00001,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,Roy Tanck,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00001,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,Luke Morton,"[PROPN, PROPN]","[NNP, NNP]","[compound, conj]"
clueweb12-0000tw-00-00002,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,xtWP Cumulus Flash,"[ADV, PROPN, PROPN]","[RB, NNP, NNP]","[compound, compound, compound]"
clueweb12-0000tw-00-00002,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,Roy Tanck,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00002,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,Luke Morton,"[PROPN, PROPN]","[NNP, NNP]","[compound, conj]"
clueweb12-0000tw-00-00003,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,xtWP Cumulus Flash,"[ADV, PROPN, PROPN]","[RB, NNP, NNP]","[compound, compound, compound]"
clueweb12-0000tw-00-00003,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,Roy Tanck,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00003,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,Luke Morton,"[PROPN, PROPN]","[NNP, NNP]","[compound, conj]"
clueweb12-0000tw-00-00004,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,xtWP Cumulus Flash,"[ADV, PROPN, PROPN]","[RB, NNP, NNP]","[compound, compound, compound]"
clueweb12-0000tw-00-00004,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,Roy Tanck,"[PROPN, PROPN]","[NNP, NNP]","[compound, pobj]"
clueweb12-0000tw-00-00004,tsawer.net,xtWP Cumulus Flash tag cloud by Roy Tanck and Luke Morton requires Flash Player 9 or better.        ,Luke Morton,"[PROPN, PROPN]","[NNP, NNP]","[compound, conj]"
clueweb12-0000tw-00-00007,claywginn.com,"Now, if I just stopped there, this would make for a pretty pointless and stupid post, so Im not going to. Whats interesting to me are the things that I didnt describe that are back there, things that I dont expect or want you to see. We have a new dog thats still a bit of a puppy and she likes to drag things out the dog door and into the backyard. She doesnt typically chew them up (except for shoes) she just takes them outside and deposits them between the fort and the back door. One day my wife and I were talking while I was driving home from work and she said, Dont look in the back yard when you get home. Naturally, I was curious why I was being restricted like this and she replied with, Because it looks like a diaper bomb went off out there. Apparently Maggie had found a trash can in the bedroom where we had been putting diapers and was taking them outside, one by one.",Maggie,[PROPN],[NNP],[nsubj]
clueweb12-0000tw-00-00007,claywginn.com,"My point behind all this is that we need to be sure that what we display in the front yard of our lives, our public face, is consistent with how we live in the back yard of our life. We expect privacy there, but we should also understand that at any moment that privacy can be broken, and all the things that we try to hide from public view will be displayed for all to see. Luke 12:2-3 tells us:",Luke,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00007,claywginn.com,  Did Collette tell you about the state of our backyard?  Hmm,Collette,[PROPN],[NNP],[nsubj]
clueweb12-0000tw-00-00007,claywginn.com,  Thanks Michelle!,Michelle,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00007,claywginn.com,  Thanks Frank!,Frank,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00007,claywginn.com," Word Count StatisticsTotal: 21,977 WordsPosts: 21,458 Words (511 Avg.)   ",WordsPosts,[PROPN],[NNP],[appos]
clueweb12-0000tw-00-00008,claywginn.com,Related Posts:Humble pride: a follow upNaked ambitionBarely containableRuminatingWhats in your back yard?Powered by Contextual Related Posts,upNaked,[PROPN],[NNP],[amod]
clueweb12-0000tw-00-00008,claywginn.com," Word Count StatisticsTotal: 21,977 WordsPosts: 21,458 Words (511 Avg.)   ",WordsPosts,[PROPN],[NNP],[appos]
clueweb12-0000tw-00-00009,claywginn.com,"Its been quite a week. We have one more night here at Walt Disney World, then we are headed home. Ill give you a bit of a preview for next week though. There are a few things Ive noticed here that develop into great analogies for life lessons. Anything from a large, burly fellow with a pink Disney Princess backpack, to using the bathroom at the dinner table, to the lack of wisdom in crowds. I think youll enjoy these. ",Walt Disney World,"[PROPN, PROPN, PROPN]","[NNP, NNP, NNP]","[compound, compound, pobj]"
clueweb12-0000tw-00-00009,claywginn.com,"The second thing Ive learned is that you can tell how many days people have been here just by the look on their faces. There is an unspoken Ive sat through ;Its A Small World so many times that i might just twist off at the next puppet I see look to some faces. These are the people that are not hardcore Disney fans, but came mostly for their children. (An aside: you know what would make Small World so much better? Bucket o softballs. Youll have to create a queue that would stretch all the way across the park for it. So many childhood doll nightmares erased in a hail of tossed balls. Its a goldmine. I expect my royalty checks to pour in soon.)",Disney,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00009,claywginn.com,"The second thing Ive learned is that you can tell how many days people have been here just by the look on their faces. There is an unspoken Ive sat through ;Its A Small World so many times that i might just twist off at the next puppet I see look to some faces. These are the people that are not hardcore Disney fans, but came mostly for their children. (An aside: you know what would make Small World so much better? Bucket o softballs. Youll have to create a queue that would stretch all the way across the park for it. So many childhood doll nightmares erased in a hail of tossed balls. Its a goldmine. I expect my royalty checks to pour in soon.)",Small World,"[ADJ, PROPN]","[JJ, NNP]","[amod, nsubj]"
clueweb12-0000tw-00-00009,claywginn.com,"Too many people come here with the expectation that they can accomplish everything at WDW in a week. This is so far from the truth. My wife and I have been coming here since 1996, and weve still not seen or done it all. The likelihood is pretty slim that it will happen too. Too many things changing or disappearing to be able to conquer that mountain. ",WDW,[NOUN],[NN],[pobj]
clueweb12-0000tw-00-00009,claywginn.com,"The one lasting memory I have from our trips to WDW is the sense of awe that my children feel. Heck, I feel it too. Everything here is so much bigger, so much more perfect than the real world. Of course, if it werent that way, we wouldnt be paying to visit. If someone built a Computer Progeammer World, Id have to be drugged to be taken in to it. I dont want my real life, I want a different reality. That might be good sometimes, but it definitely isnt a way to live. ",WDW,[PROPN],[NNP],[pobj]
