key,host,payload,mention,pos,tag,dep
clueweb12-0000tw-00-00007,claywginn.com,"Apparently Maggie had found a trash can in the bedroom where we had been putting diapers and was taking them outside, one by one.",Maggie,[PROPN],[NNP],[nsubj]
clueweb12-0000tw-00-00007,claywginn.com,  Did Collette tell you about the state of our backyard?  ,Collette,[PROPN],[NNP],[nsubj]
clueweb12-0000tw-00-00007,claywginn.com,  Thanks Michelle!,Michelle,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00007,claywginn.com,  Thanks Frank!,Frank,[PROPN],[NNP],[ROOT]
clueweb12-0000tw-00-00007,claywginn.com," Word Count StatisticsTotal: 21,977 WordsPosts: 21,458 Words (511 Avg.)   ",WordsPosts,[PROPN],[NNP],[appos]
clueweb12-0000tw-00-00008,claywginn.com,"Weve got to battle back sin with the Holy Spirit, actively engaging in the fight and not passively allowing the enemy to roll over us.",the Holy Spirit,"[DET, PROPN, PROPN]","[DT, NNP, NNP]","[det, compound, pobj]"
clueweb12-0000tw-00-00008,claywginn.com,a follow upNaked ambitionBarely containableRuminatingWhats in your back yard?Powered by Contextual Related Posts,upNaked,[PROPN],[NNP],[amod]
clueweb12-0000tw-00-00008,claywginn.com," Word Count StatisticsTotal: 21,977 WordsPosts: 21,458 Words (511 Avg.)   ",WordsPosts,[PROPN],[NNP],[appos]
clueweb12-0000tw-00-00009,claywginn.com,"We have one more night here at Walt Disney World, then we are headed home.",Walt Disney World,"[PROPN, PROPN, PROPN]","[NNP, NNP, NNP]","[compound, compound, pobj]"
clueweb12-0000tw-00-00009,claywginn.com,"These are the people that are not hardcore Disney fans, but came mostly for their children.",Disney,[PROPN],[NNP],[compound]
clueweb12-0000tw-00-00009,claywginn.com,(An aside: you know what would make Small World so much better?,Small World,"[ADJ, PROPN]","[JJ, NNP]","[amod, nsubj]"
clueweb12-0000tw-00-00009,claywginn.com,Too many people come here with the expectation that they can accomplish everything at WDW in a week.,WDW,[NOUN],[NN],[pobj]
clueweb12-0000tw-00-00009,claywginn.com,The one lasting memory I have from our trips to WDW is the sense of awe that my children feel.,WDW,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00009,claywginn.com,"If someone built a Computer Progeammer World, Id have to be drugged to be taken in to it.",Computer Progeammer World,"[PROPN, PROPN, PROPN]","[NNP, NNP, NNP]","[compound, compound, dobj]"
clueweb12-0000tw-00-00009,claywginn.com,"Vacations, especially big ones like WDW have a way of refining our personalities in a way that other experiences dont.",WDW,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00009,claywginn.com,a week in reviewWhat is bi-vocational ministry?Whats in your back yard?Where to go from herePowered by Contextual Related Posts,ministry?Whats,[NOUN],[NNS],[attr]
clueweb12-0000tw-00-00009,claywginn.com," Word Count StatisticsTotal: 21,977 WordsPosts: 21,458 Words (511 Avg.)   ",WordsPosts,[PROPN],[NNP],[appos]
clueweb12-0000tw-00-00014,cheapcosthealthinsurance.com,"HIV or AIDS, which are better clear as Acquired Immune Deficiency Syndrome, are a grave shape of sexually HIV or AIDS broadcast illness that assault and fail the immune system.",Acquired Immune Deficiency Syndrome,"[PROPN, PROPN, PROPN, PROPN]","[NNP, NNP, NNP, NNP]","[compound, compound, compound, pobj]"
clueweb12-0000tw-00-00014,cheapcosthealthinsurance.com,HIV or AIDS is the last stage of series of the illness HIV or AIDS have resulted from a viral disease recognized as Human Immunodeficiency Virus (HIV or AIDS virus).,Human Immunodeficiency Virus,"[PROPN, PROPN, PROPN]","[NNP, NNP, NNP]","[compound, compound, pobj]"
clueweb12-0000tw-00-00014,cheapcosthealthinsurance.com,"The characteristic HIV or AIDS opportunistic disease that struck the body of HIV or AIDS wounded are tuberculosis, HIV or AIDS yeast infection in vagina, throat, or mouth, pneumocystis cariniipneumonia, HIV or AIDS cytomegalovirus retinitis and shingles.",vagina,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00014,cheapcosthealthinsurance.com,"The characteristic HIV or AIDS opportunistic disease that struck the body of HIV or AIDS wounded are tuberculosis, HIV or AIDS yeast infection in vagina, throat, or mouth, pneumocystis cariniipneumonia, HIV or AIDS cytomegalovirus retinitis and shingles.",throat,[PROPN],[NNP],[conj]
clueweb12-0000tw-00-00014,cheapcosthealthinsurance.com,"The characteristic HIV or AIDS opportunistic disease that struck the body of HIV or AIDS wounded are tuberculosis, HIV or AIDS yeast infection in vagina, throat, or mouth, pneumocystis cariniipneumonia, HIV or AIDS cytomegalovirus retinitis and shingles.",cariniipneumonia,[PROPN],[NNP],[conj]
clueweb12-0000tw-00-00015,cheapcosthealthinsurance.com,How do you get aids Tinnitus is by via trial aids.,Tinnitus,[PROPN],[NNP],[nsubj]
clueweb12-0000tw-00-00015,cheapcosthealthinsurance.com,they are extremely significant if you desire to delicacy your Tinnitus.,Tinnitus,[PROPN],[NNP],[dobj]
clueweb12-0000tw-00-00015,cheapcosthealthinsurance.com,How do you get aids As dissimilar cases and amounts of Tinnitus will need dissimilar trial aids.,Tinnitus,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00017,cheapcosthealthinsurance.com,"When a human being is contaminated with to aids or Human Immunodeficiency Virus, the T co-worker lymphocyte cells which are an unwavering fraction of to aids resistant organization are in effect show aggression by to aids the HIV germ assassination these cells which to the highest degree trim down to aids their add up to in excess of an age of to aids moment.",Immunodeficiency Virus,"[PROPN, PROPN]","[NNP, NNP]","[compound, conj]"
clueweb12-0000tw-00-00017,cheapcosthealthinsurance.com,This is the step to aids which comes about in a moment after to aids personality has become unhygienic with the HIV germ and may come into view to aids as influenza similar to warning sign and most recent for no more than a small number of weeks to aids which is the most important cause why lots of people do not even become conscious to aids that they have the illness as they accept as true it to be basically a outward appearance to aids of infection.,influenza,[PROPN],[NNP],[pobj]
clueweb12-0000tw-00-00017,cheapcosthealthinsurance.com,The second period of HIV to aids is described the Clinically Asymptomatic step,Clinically Asymptomatic,"[ADV, ADJ]","[RB, JJ]","[advmod, amod]"
