key,host,payload
clueweb12-0000tw-00-00007,claywginn.com,Whats in your back yard?
clueweb12-0000tw-00-00007,claywginn.com,"Im on vacation this week,"
clueweb12-0000tw-00-00007,claywginn.com,so Im posting some older articles.
clueweb12-0000tw-00-00007,claywginn.com,Hope you enjoy this one.
clueweb12-0000tw-00-00007,claywginn.com,You ever think about what is in your back yard?
clueweb12-0000tw-00-00007,claywginn.com,"Might seem like a bit of an odd question, but its one thats been on my mind recently."
clueweb12-0000tw-00-00007,claywginn.com,Its really pretty easy for me to answer.
clueweb12-0000tw-00-00007,claywginn.com,"Weve got a fort for the kids to play on, a slide and a little house for the younger ones, some lawn furniture, a grill, and a small patio."
clueweb12-0000tw-00-00007,claywginn.com,"Seems pretty typical, doesnt it?"
clueweb12-0000tw-00-00007,claywginn.com,"Now, if I just stopped there, this would make for a pretty pointless and stupid post, so Im not going to."
clueweb12-0000tw-00-00007,claywginn.com,"Whats interesting to me are the things that I didnt describe that are back there, things that I dont expect or want you to see."
clueweb12-0000tw-00-00007,claywginn.com,We have a new dog thats still a bit of a puppy
clueweb12-0000tw-00-00007,claywginn.com,and she likes to drag things out the dog door and into the backyard.
clueweb12-0000tw-00-00007,claywginn.com,She doesnt typically chew them up (except for shoes)
clueweb12-0000tw-00-00007,claywginn.com,she just takes them outside and deposits them between the fort and the back door.
clueweb12-0000tw-00-00007,claywginn.com,One day my wife and I were talking while I was driving home from work
clueweb12-0000tw-00-00007,claywginn.com,"and she said, Dont look in the back yard when you get home."
clueweb12-0000tw-00-00007,claywginn.com,"Naturally, I was curious why I was being restricted like this and"
clueweb12-0000tw-00-00007,claywginn.com,"she replied with, Because it looks like a diaper bomb went off out there."
clueweb12-0000tw-00-00007,claywginn.com,"Apparently Maggie had found a trash can in the bedroom where we had been putting diapers and was taking them outside, one by one."
clueweb12-0000tw-00-00007,claywginn.com,Now you might be wondering
clueweb12-0000tw-00-00007,claywginn.com,why Im telling you about this and how it relates to my point.
clueweb12-0000tw-00-00007,claywginn.com,"You really need to be less like my son watching a movie, constantly asking about whats going to happen, and be more patient."
clueweb12-0000tw-00-00007,claywginn.com,Im only 250 words into this.
clueweb12-0000tw-00-00007,claywginn.com,"When there is stuff strewn all over the back yard, I hate going out there."
clueweb12-0000tw-00-00007,claywginn.com,Its surrounded by a fence
clueweb12-0000tw-00-00007,claywginn.com,so nobody sees it and this removes just about any motivation I might have to clean it up.
clueweb12-0000tw-00-00007,claywginn.com,I dont even like mowing out there.
clueweb12-0000tw-00-00007,claywginn.com,"Normally, nobody knows about this except for my family and its not a big deal."
clueweb12-0000tw-00-00007,claywginn.com,"However, last week, anyone driving by my house knew about my lack of back yard cleanliness."
clueweb12-0000tw-00-00007,claywginn.com,"After a couple days of strong winds and one good storm, my already pathetic fence gave up on one side of the house and came crashing down."
clueweb12-0000tw-00-00007,claywginn.com,I look outside during the storm and notice three fence panels on the ground and two more waving like fans at a football game who just realized the camera was turned their direction.
clueweb12-0000tw-00-00007,claywginn.com,"I was understandably disappointed that I would have to repair the fence, but I was more disturbed that now people would be able to see into my back yard and the sorry state it was in."
clueweb12-0000tw-00-00007,claywginn.com,"Last weekend while I was rebuilding the fence, I had plenty of time to think."
clueweb12-0000tw-00-00007,claywginn.com,I started to realize that the way we maintain our house could really be a metaphor for our own lives.
